,회사명,유동자산증가율,재고자산증가율,0,1,2,3
222,(주)골드퍼시픽,-61.98,-96.75,-61.98,-22.33,-96.75,550.63
223,(주)골드퍼시픽,216.54,880.92,216.54,11111111.11,880.92,11111111.11
224,(주)골드퍼시픽,27.83,48.23,27.83,11111111.11,48.23,11111111.11
225,(주)골드퍼시픽,29.31,339.17,29.31,-53.69,339.17,591.37
226,(주)골프존,631.66,-72.02,150.54,631.66,-48.8,-72.02
227,(주)골프존,10.44,307.19,6.31,10.44,509.31,307.19
228,(주)골프존,78.87,3.72,88.27,78.87,-7.63,3.72
229,(주)골프존,-9.54,-20.04,-6.03,-9.54,-21.75,-20.04
230,(주)골프존,-43.74,3.64,-47.43,-43.74,-7.08,3.64
231,(주)골프존뉴딘홀딩스,95.97,114.65,253.3,238.03,-31.26,-45.45
232,(주)골프존뉴딘홀딩스,-3.24,202.37,7.5,-3.24,221.27,202.37
233,(주)골프존뉴딘홀딩스,4.83,79.92,17.99,4.83,88.95,79.92
234,(주)골프존뉴딘홀딩스,-36.93,-5.3,-44.62,-36.93,-4.48,-5.3
235,(주)골프존뉴딘홀딩스,-45.03,-21.51,-73.89,-45.03,-100.0,-21.51
236,(주)골프존뉴딘홀딩스,5.31,41.01,38.04,5.31,11111111.11,41.01
237,(주)골프존뉴딘홀딩스,14.69,19.22,-25.52,14.69,11111111.11,19.22
238,(주)골프존뉴딘홀딩스,-14.81,27.37,26.58,-14.81,11111111.11,27.37
239,(주)골프존뉴딘홀딩스,25.76,-5.83,-48.36,25.76,11111111.11,-5.83
240,(주)광림,-30.6,-29.2,61.07,-91.16,inf,-77.04
241,(주)광림,8.27,10.83,8.27,11111111.11,10.83,11111111.11
242,(주)광림,24.21,-26.84,24.21,11111111.11,-26.84,11111111.11
243,(주)광림,-18.97,14.48,-18.97,11111111.11,14.48,11111111.11
244,(주)광림,6.95,-7.82,6.95,-92.59,-7.82,-85.55
245,(주)광림,-10.61,-0.63,-10.61,11111111.11,-0.63,11111111.11
246,(주)광림,-11.28,-17.95,396.51,-11.28,-24.84,-17.95
247,(주)광림,-3.65,15.99,-43.14,-3.65,18.73,15.99
248,(주)광림,52.04,9.89,-43.22,52.04,1.48,9.89
249,(주)광명전기,12.97,-2.59,-38.82,-38.05,-54.84,-53.59
250,(주)광명전기,13.62,26.57,18.25,13.62,49.68,26.57
251,(주)광명전기,-2.87,-11.74,7.28,-2.87,-7.77,-11.74
252,(주)광명전기,19.7,18.28,19.92,19.7,19.83,18.28
