,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결
337,(주)그래디언트,35080,Dec-16,-40598919,-39011241,-409.62,-190.73
338,(주)그래디언트,35080,Dec-17,-54754214,-63634928,11111111.11,11111111.11
339,(주)그래디언트,35080,Dec-18,4404863,-4194664,11111111.11,11111111.11
340,(주)그래디언트,35080,Dec-19,4125060,6507368,-6.35,11111111.11
341,(주)그리티,204020,Dec-18,6019400,4810592,45.92,-26.07
342,(주)그리티,204020,Dec-19,2627015,1563323,-56.36,-67.5
343,(주)그린플러스,186230,Dec-19,2435883,2533086,-7.28,62.03
344,(주)글로벌스탠다드테크놀로지,83450,Dec-11,2301945,3521902,-5.5,39.04
345,(주)글로벌스탠다드테크놀로지,83450,Dec-12,5403733,7003711,134.75,98.86
346,(주)글로벌스탠다드테크놀로지,83450,Dec-13,5075966,5925826,-6.07,-15.39
347,(주)글로벌스탠다드테크놀로지,83450,Dec-14,6151625,7880919,21.19,32.99
348,(주)글로벌스탠다드테크놀로지,83450,Dec-15,3910170,5703892,-36.44,-27.62
349,(주)글로벌스탠다드테크놀로지,83450,Dec-16,3758214,4644376,-3.89,-18.58
350,(주)글로벌스탠다드테크놀로지,83450,Dec-17,13135277,15756344,249.51,239.26
