,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
8993,112.02,11111111.11,112.02
8994,10.44,-18.92,10.44
8995,-23.93,-36.53,-23.93
8996,-24.25,-127.02,-24.25
8997,71.84,11111111.11,71.84
8998,175.22,11111111.11,175.22
8999,76.38,87.87,76.38
9000,21.26,-17.2,21.26
9001,-39.1,-43.62,-39.1
9002,96.8,11111111.11,96.8
9003,-1.86,15.51,-1.86
9004,5.92,2.61,5.92
9005,50.0,3.55,50.0
9006,19.99,-20.62,19.99
9007,25.15,22.1,25.15
9008,-4.24,-2.53,-4.24
9009,-66.02,-83.09,-66.02
9010,50.76,300.1,50.76
9011,20.44,11111111.11,20.44
9012,-27.83,-8.33,-27.83
9013,32.33,-35.87,32.33
9014,-32.93,-13.76,-32.93
9015,-37.99,-75.6,-37.99
9016,-53.35,-25.84,-53.35
9017,140.48,52.49,140.48
9018,-149.48,-352.41,-149.48
9019,1254789.63,11111111.11,11111111.11
9020,1254789.63,11111111.11,11111111.11
9021,0.0,11111111.11,0.0
9022,207.98,207.98,0.0
9023,13.92,13.92,0.0
9024,-23.13,-23.13,0.0
9025,-18.36,-18.36,0.0
9026,-13.5,-13.5,0.0
9027,-36.57,-36.57,0.0
9028,-45.87,-45.87,0.0
9029,161.7,11111111.11,0.0
9030,5.33,1254789.63,0.0
9031,-77.38,-77.38,0.0
9032,-27.5,-27.5,0.0
9033,11.84,11.84,0.0
9034,34.73,34.73,0.0
9035,0.0,11111111.11,0.0
9036,-27.22,-20.65,-27.22
9037,-63.56,-65.14,-63.56
9038,73.89,43.86,73.89
9039,49.96,29.78,49.96
9040,-29.63,-49.08,-29.63
9041,138.49,106.76,138.49
9042,36.3,83.1,36.3
9043,-12.74,-42.04,-12.74
9044,-21.78,11111111.11,-21.78
9045,-61.71,-37.11,-61.71
9046,-34.46,-52.81,-34.46
9047,156.68,32.03,156.68
9048,23.55,-16.38,23.55
9049,58.27,131.19,58.27
9050,6.96,33.77,6.96
9051,-24.16,-34.39,-24.16
9052,-81.39,-105.46,-81.39
9053,65.06,11111111.11,65.06
9054,210.33,231.27,210.33
9055,-123.14,-117.98,-123.14
9056,1254789.63,11111111.11,11111111.11
9057,1254789.63,11111111.11,11111111.11
9058,1254789.63,11111111.11,11111111.11
9059,133.15,128.7,133.15
9060,-2.61,10.88,-2.61
9061,11.58,20.66,11.58
9062,-66.06,11111111.11,-66.06
9063,4.75,2.3,4.75
9064,-14.22,-40.19,-14.22
9065,7.31,-24.29,7.31
9066,-4.67,-52.05,-4.67
9067,-13.88,-133.91,-13.88
9068,-85.31,11111111.11,-85.31
9069,1737.07,11111111.11,1737.07
9070,64.21,3889.82,64.21
9071,31.8,11111111.11,31.8
9072,1254789.63,1254789.63,1254789.63
9073,259.29,11111111.11,259.29
9074,0.0,11111111.11,0.0
9075,-2303.68,-2303.68,0.0
9076,0.0,11111111.11,0.0
9077,73.08,73.08,0.0
9078,429.84,429.84,0.0
9079,809.16,809.16,0.0
9080,-10.53,-10.53,0.0
9081,78.16,78.16,0.0
9082,-70.75,11111111.11,0.0
9083,-39.77,-50.93,-39.77
9084,-26.99,-13.24,-26.99
9085,-0.82,-42.02,-0.82
9086,8.43,24.34,8.43
9087,46.83,26.44,46.83
9088,-58.66,-162.69,-58.66
9089,-60.16,11111111.11,-60.16
9090,-589.41,-671.25,-589.41
9091,1254789.63,11111111.11,11111111.11
9092,10.74,79.07,10.74
9093,-40.51,-9.74,-40.51
9094,112.84,14.21,112.84
9095,-41.94,-44.75,-41.94
9096,-21.02,-18.73,-21.02
9097,-55.32,80.04,-55.32
9098,-413.09,19.6,-413.09
9099,-622.18,-622.18,0.0
9100,1254789.63,11111111.11,11111111.11
9101,432.86,432.86,0.0
9102,-134.71,-134.71,0.0
9103,0.0,11111111.11,0.0
9104,0.0,11111111.11,0.0
9105,0.0,11111111.11,0.0
9106,-219.58,-219.58,0.0
9107,1254789.63,11111111.11,11111111.11
9108,-1078.12,-3414.74,-1078.12
9109,1254789.63,11111111.11,11111111.11
9110,6.44,1254789.63,0.0
9111,75.3,75.3,0.0
9112,-12.95,-12.95,0.0
9113,-7.64,-12.5,-7.64
9114,-9.83,-30.19,-9.83
9115,24.16,11111111.11,24.16
9116,-21.53,1254789.63,1254789.63
9117,-26.67,-29.91,-26.67
9118,1.07,-9.01,1.07
9119,-22.8,-30.91,-22.8
9120,-55.14,-60.15,-55.14
9121,96.2,51.13,96.2
9122,16.18,40.81,16.18
9123,-85.83,11111111.11,-85.83
9124,17.99,15.15,17.99
9125,9.52,6.97,9.52
9126,-55.09,-64.96,-55.09
9127,-50.32,-29.32,-50.32
9128,274.76,206.06,274.76
9129,18.21,51.03,18.21
9130,-26.74,-32.19,-26.74
9131,-8.58,2.11,-8.58
9132,40.76,11111111.11,40.76
9133,0.0,0.0,0.0
9134,0.0,0.0,0.0
9135,0.0,0.0,0.0
9136,0.0,11111111.11,0.0
9137,0.0,11111111.11,0.0
9138,9.13,4.85,9.13
9139,1.19,-8.46,1.19
9140,-58.13,-75.51,-58.13
9141,12.31,147.06,12.31
9142,-57.72,-98.73,-57.72
9143,-83.62,193.82,-83.62
9144,1586.57,3016.05,1586.57
9145,-21.01,-64.38,-21.01
9146,-171.97,11111111.11,-171.97
9147,1254789.63,1254789.63,0.0
9148,-87.79,-87.79,0.0
9149,1254789.63,11111111.11,11111111.11
9150,1254789.63,1254789.63,1254789.63
9151,64.15,67.84,64.15
9152,28.06,25.7,28.06
9153,6.95,11111111.11,6.95
9154,409.98,409.98,0.0
9155,61.35,61.35,0.0
9156,88.42,42.16,88.42
9157,7.73,15.38,7.73
9158,70.6,62.72,70.6
9159,-43.72,-99.91,-43.72
9160,109.94,41112.04,109.94
9161,12.03,-4.46,12.03
9162,7.28,11111111.11,7.28
9163,45.6,54.6,45.6
9164,-45.43,-49.45,-45.43
9165,-9.9,-21.47,-9.9
9166,-37.67,-10.78,-37.67
9167,-14.95,-1.79,-14.95
9168,94.65,58.2,94.65
9169,71.22,31.52,71.22
9170,26.24,24.36,26.24
9171,-20.22,11111111.11,-20.22
9172,7.99,1254789.63,1254789.63
9173,-54.38,-62.2,-54.38
9174,-26.63,-6.59,-26.63
9175,47.76,36.05,47.76
9176,36.71,11111111.11,36.71
9177,-121.39,-121.39,0.0
9178,0.0,11111111.11,0.0
