,회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원),0,1
281,(주)구영테크,53270,Dec-16,46429602,57780291,5.36,2.45
282,(주)구영테크,53270,Dec-17,47102417,55811041,1.45,-3.41
283,(주)구영테크,53270,Dec-18,57861349,68827896,22.84,23.32
284,(주)구영테크,53270,Dec-19,58668784,71704257,1.4,4.18
285,(주)국동,5320,Dec-11,2694312,5829570,-95.41,-91.87
286,(주)국동,5320,Dec-12,2775119,9422729,3,61.64
287,(주)국동,5320,Dec-13,5947778,15412210,114.33,63.56
288,(주)국동,5320,Dec-14,14336568,28639367,141.04,85.82
289,(주)국동,5320,Dec-15,22395455,31226110,56.21,9.03
290,(주)국동,5320,Dec-16,40069999,51725723,78.92,65.65
291,(주)국동,5320,Dec-17,38638770,42630725,-3.57,-17.58
292,(주)국동,5320,Dec-18,41762492,48475045,8.08,13.71
293,(주)국동,5320,Dec-19,54349558,65481226,30.14,35.08
294,(주)국보,1140,Dec-11,33874415,34466553,-37.67,-47.36
295,(주)국보,1140,Dec-12,31655538,33793391,-6.55,-1.95
296,(주)국보,1140,Dec-13,27678685,29768264,-12.56,-11.91
297,(주)국보,1140,Dec-14,20984752,22620239,-24.18,-24.01
298,(주)국보,1140,Dec-15,17113465,18409444,-18.45,-18.62
299,(주)국보,1140,Dec-16,13200649,15275562,-22.86,-17.02
300,(주)국보,1140,Dec-17,16039171,17848563,21.5,16.84
301,(주)국보,1140,Dec-18,11578143,13412206,-27.81,-24.86
302,(주)국보,1140,Dec-19,12278837,28604010,6.05,113.27
303,(주)국보디자인,66620,Dec-11,48472432,48143562,294.76,68.31
304,(주)국보디자인,66620,Dec-12,58283419,57564527,20.24,19.57
305,(주)국보디자인,66620,Dec-13,64945696,65598063,11.43,13.96
306,(주)국보디자인,66620,Dec-14,70452085,74350888,8.48,13.34
307,(주)국보디자인,66620,Dec-15,75467148,83307386,7.12,12.05
308,(주)국보디자인,66620,Dec-16,80282408,86928845,6.38,4.35
309,(주)국보디자인,66620,Dec-17,94380512,99283826,17.56,14.21
310,(주)국보디자인,66620,Dec-18,103598968,108600438,9.77,9.38
311,(주)국보디자인,66620,Dec-19,112076012,123363884,8.18,13.59
312,(주)국순당,43650,Dec-11,174045265,178114387,55.29,44.38
313,(주)국순당,43650,Dec-12,186305726,191625826,7.04,7.59
314,(주)국순당,43650,Dec-13,185985822,194567775,-0.17,1.54
