회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원)
(주)SNT에너지,100840,18-Dec,139516396,,280991534,,118750224,,5692284,,29295256,,115728393,,26326736,,231276490,,155524318,,31555307,,49715044,
(주)SNT에너지,100840,19-Dec,202822913,213326726,331391237,333897235,170291934,177635077,10124894,10208805,98456397,83894725,116275557,123257799,41521076,43546798,245545053,244954910,202225767,204986584,65138557,67469967,85846184,88942325
(주)SNT홀딩스,36530,11-Dec,2257851,1663846065,388123974,2124828265,0,1449348821,0,274834022,677865,404578388,150611,989038851,199699,428903258,387839074,1311007481,64671576,1041841182,199700,597785981,284900,813820784
(주)SNT홀딩스,36530,12-Dec,8718270,1668749904,388964716,2074903906,0,1465168699,0,280540811,659958,404874970,100263,984180010,165833,382874518,388611726,1318022867,40740917,998857779,165833,540250663,352990,756881039
(주)SNT홀딩스,36530,13-Dec,8826810,1576368464,397336142,2149176237,0,1379201925,0,311174402,624553,364300144,54602,986231198,177803,397214965,396851717,1374365240,49212139,1070812404,306090,569273848,484426,774810996
(주)SNT홀딩스,36530,14-Dec,7701882,1552374806,399244416,2039388864,0,1380123821,0,283952471,608494,318803347,75419,933346465,134058,340082073,398863036,1356040938,47079948,994978341,245998,477795324,381380,683347926
(주)SNT홀딩스,36530,15-Dec,8475099,1612746929,430584006,2169311305,0,1331347191,0,268780766,647243,317287946,55309,928315887,197853,290341157,421925486,1529249091,100040105,1140793639,8658519,433769566,8658519,640062214
(주)SNT홀딩스,36530,16-Dec,9818190,1537700275,427001710,2210178425,0,1336617769,0,236908975,647920,331347025,35654,908800105,210780,317820370,426682947,1530892611,97449826,1205349271,318763,487107956,318763,679285814
(주)SNT홀딩스,36530,17-Dec,7417869,1508152132,425435423,2146174938,0,1303372403,0,215870141,558857,317573551,19895,880843802,217076,311196019,425136143,1519293154,98229088,1187727595,299279,448821933,299279,626881784
(주)SNT홀딩스,36530,18-Dec,7292112,1401307482,422804813,2113834573,0,1221120349,0,220256725,595784,282698019,2888,869282994,231691,274334310,422573122,1503275496,89557460,1168023374,231691,381612594,231691,610559077
(주)SNT홀딩스,36530,19-Dec,11015928,1512114565,417172874,2236679025,0,1284171398,0,229809615,570175,323871429,59663,871104106,233270,265682859,416939604,1625933047,31735933,1266526398,233270,405603647,233270,610745978
(주)STX,11810,11-Dec,4173397000,5967701000,3302248000,5234175000,3988988000,5516021000,240418000,315306000,433389000,549558000,72801000,818420000,324959000,455972000,1164648000,1915942000,993206000,1430457000,1568777000,2041868000,2137600000,3318233000
(주)STX,11810,12-Dec,4116767000,6159850000,3226878000,5067029000,3997635000,6353608000,108537000,182590000,407542000,585650000,69598000,1044547000,271287000,450434000,1123534000,1506639000,856988000,1484305000,1821548000,2363189000,2103344000,3560390000
(주)STX,11810,13-Dec,1895063000,2449401000,1086567000,1342520000,1814171000,3140865000,47749000,94076000,264240000,318920000,62152000,215510000,183690000,295650000,-522090000,-509663000,640293000,793607000,1071743000,1278680000,1608657000,1852183000
(주)STX,11810,14-Dec,1291351000,1634606000,1070433000,1255002000,1233380000,1513363000,148535000,207648000,240745000,231173000,57120000,108080000,94800000,170574000,54894000,93662000,728283000,893610000,671976000,788697000,1015539000,1161340000
(주)STX,11810,15-Dec,1362127000,1630827000,1057543000,1267224000,1352181000,1586081000,143454000,316312000,192082000,196846000,53714000,101700000,111686000,212162000,72316000,72342000,663016000,902119000,677923000,866685000,985227000,1194882000
(주)STX,11810,16-Dec,1465561000,1720153000,627686000,707709000,1494187000,1635394000,139765000,226131000,225461000,151385000,30798000,73715000,185062000,124647000,-328883000,-330596000,441306000,486347000,914419000,974743000,956569000,1038305000
(주)STX,11810,17-Dec,1595494000,1803878000,520393000,627542000,1541890000,1718572000,103343000,181620000,148268000,150002000,29631000,70760000,122579000,128512000,44710000,42560000,349891000,475786000,453983000,553981000,475683000,584982000
(주)STX,11810,18-Dec,1329890000,1502985000,446758000,554061000,1319737000,1483048000,89120000,129417000,124416000,168448000,28464000,74249000,71801000,101343000,62213000,64028000,297842000,422861000,361935000,463598000,384545000,490033000
(주)STX,11810,19-Dec,1237876000,1471164000,462734000,560107000,1225459000,1424697000,89664000,118778000,149459000,184444000,43245000,90288000,95637000,126601000,50616000,56291000,292473000,386401000,377150000,439806000,412118000,503816000
(주)TCC스틸,2710,11-Dec,456928069,514424043,407743559,454329510,419062918,472273637,76580688,79633257,67618018,80665225,75283350,84444856,40317064,46807237,205616971,225441968,163515113,183481284,143961450,165589918,202126588,228887542
(주)TCC스틸,2710,12-Dec,440568155,501337475,438642951,547013976,399338479,457927934,75866000,100648536,65092634,71112902,71554979,143845835,39535005,54261840,209755733,225998781,168674581,218440703,115747321,191715329,228887219,321015196
(주)TCC스틸,2710,13-Dec,419483813,500832754,444204925,543708595,385343144,474104834,62722660,117184576,56753518,68316114,71255687,156557380,33694711,52867092,210086242,205738102,150092488,220034732,98538725,155751890,234118683,337970494
(주)TCC스틸,2710,14-Dec,401323585,518995240,461297588,551000563,364984531,483588495,59114758,124343812,60593854,86970515,68743151,151621286,32897822,51092393,210093654,189038004,141191905,233224033,189566139,283660429,251203934,361962559
(주)TCC스틸,2710,15-Dec,350074629,495795871,330651742,376394571,311691285,451936886,45683627,48965898,42872200,67719623,50635593,71859909,26708796,48125469,76555951,86012476,202116240,240184174,121276743,153614700,254095791,290382095
(주)TCC스틸,2710,16-Dec,317235565,444453635,250878191,282914735,281559457,402898839,44890754,51850499,48126701,57654611,43730610,64693517,30816455,36564040,92623510,103337634,97007914,120777516,77521428,94244692,158254682,179577101
(주)TCC스틸,2710,17-Dec,333762378,391370092,248896237,278692540,304470552,356978389,48077587,52771855,43217757,48408783,45541678,58943990,25964552,30514195,89627045,100915803,101914014,120243911,148607324,160048884,159269192,177776736
(주)TCC스틸,2710,18-Dec,351301866,413176279,268135677,304781579,320798763,377890304,62280830,69197191,41140973,42246665,43204124,55878504,36586561,45423128,98351707,112246210,128625665,152165969,82038987,93172096,169783970,192535369
(주)TCC스틸,2710,19-Dec,339334364,437173902,270265082,314210087,312320391,405618477,67392895,72619098,33268239,45242999,47129444,59322335,27974984,39623596,97501452,116843135,121879909,148991647,152915323,165995910,172763630,197366953
(주)가비아,79940,11-Dec,33792831,52838864,37295822,64954440,20761832,29173840,14450,14450,1964346,4866865,7163470,22149161,2876655,4011098,24298687,48665742,9245779,28837190,11953563,13905604,12997135,16288697
(주)가비아,79940,12-Dec,38482449,69058144,51795749,85244515,23494026,40302408,92459,248459,2041083,6524566,23749485,37833915,4212994,5720439,31165211,58945247,9613034,31997486,10723878,14858349,20630538,26299269
(주)가비아,79940,13-Dec,40507693,70675565,52151784,91231294,24558241,38882747,81039,93612,1986939,6448247,22732962,37047584,3198248,4815652,34822978,68600227,10360239,37411881,11588806,14999568,17328806,22631067
(주)가비아,79940,14-Dec,43906243,80432047,55984243,98544072,26874841,45275795,0,0,2648057,0,22313113,37099200,4267467,5752052,38147677,75509702,14916105,41920706,13161566,16229926,17836566,23034370
(주)가비아,79940,15-Dec,48446932,91648622,57657418,105081568,28806524,50078893,0,0,2327391,8120801,22210592,36916970,4011697,5619230,42470259,84096148,17436488,52239105,9687159,13210992,15187159,20985420
(주)가비아,79940,16-Dec,49430564,102178978,61160981,125796754,28802628,54998617,0,1363738,2458491,14103577,22429866,43221838,4632794,11270939,45413712,95951841,12237594,60241586,10247269,20386590,15747269,29844914
(주)가비아,79940,17-Dec,52365659,116217941,64986436,133382584,30561799,60313364,0,1675464,2897556,19164658,22362004,45452326,5324792,13568523,47662984,99896520,15116578,66113388,17323452,29400833,17323452,33486064
(주)가비아,79940,18-Dec,55197652,128728438,69315988,151440505,31654603,65751367,0,1982294,2873894,20324111,24425180,49107084,5051081,11121808,49832912,114187490,18388749,78058272,18089528,29792809,19483076,37253015
(주)가비아,79940,19-Dec,58254105,148306878,82964911,199916131,34532096,75650385,0,2643604,3227148,25159207,39724951,85359914,6661760,15299579,54084066,134959139,13602872,86880807,20260391,43098923,28880845,64956993
(주)강스템바이오텍,217730,15-Dec,1484593,,24982626,,252810,,334913,,298840,,2980005,,962994,,21237036,,18896590,,2965591,,3745591,
(주)강스템바이오텍,217730,16-Dec,842805,,47441769,,57688,,582808,,170110,,4039297,,1495266,,22976911,,37966496,,3231048,,24464858,
(주)강스템바이오텍,217730,17-Dec,5394323,9132939,44508729,47198979,2402560,5874047,1725225,1725225,173608,440984,12480829,13229478,2205650,2456227,24668128,24482163,24316617,25246012,4000962,6368374,19840601,22716816
(주)강스템바이오텍,217730,18-Dec,1001039,9165454,66184838,73194018,276617,7988195,501972,1918575,1024620,2038576,14220013,15140205,1590072,3711924,47944961,47581374,44071609,48992790,13802351,20056267,18239878,25612644
(주)강스템바이오텍,217730,19-Dec,282069,6004584,98625925,113643697,141439,6428945,34319,266393,1024806,1209654,22738650,31219524,2405025,3336853,70845209,68719236,50136013,55408095,15296868,20598774,27780716,44924460
