,회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),0,1,2,3
141,(주)경농,2100,Dec-12,10845875,10845875,10845875,10845875,131021366,136970449,0,0,8.53,12.96
142,(주)경농,2100,Dec-13,10845875,10845875,10845875,10845875,139237273,196358952,0,0,6.27,43.36
143,(주)경농,2100,Dec-14,10845875,10845875,10845875,10845875,134806677,188483147,0,0,-3.18,-4.01
144,(주)경농,2100,Dec-15,10845875,10845875,10845875,10845875,137609256,196418710,0,0,2.08,4.21
145,(주)경농,2100,Dec-16,10845875,10845875,10845875,10845875,143209666,203984939,0,0,4.07,3.85
146,(주)경농,2100,Dec-17,10845875,10845875,10845875,10845875,143175105,206534382,0,0,-0.02,1.25
147,(주)경농,2100,Dec-18,10845875,10845875,10845875,10845875,146216658,212654617,0,0,2.12,2.96
148,(주)경농,2100,Dec-19,10845875,10845875,10845875,10845875,151342037,227510941,0,0,3.51,6.99
149,(주)경동나비엔,9450,Dec-11,12739510,12739510,12739510,12739510,318269213,341246917,17.46,17.46,110.3,49.99
150,(주)경동나비엔,9450,Dec-12,12739510,12739510,12739510,12739510,341339118,379014259,0,0,7.25,11.07
151,(주)경동나비엔,9450,Dec-13,12739510,12739510,12739510,12739510,371601179,414177562,0,0,8.87,9.28
152,(주)경동나비엔,9450,Dec-14,12739510,12739510,12739510,12739510,382392117,428985365,0,0,2.9,3.58
153,(주)경동나비엔,9450,Dec-15,12739510,12739510,12739510,12739510,448302084,512031120,0,0,17.24,19.36
154,(주)경동나비엔,9450,Dec-16,12739510,12739510,12739510,12739510,506082201,583252904,0,0,12.89,13.91
155,(주)경동나비엔,9450,Dec-17,12739510,12739510,12739510,12739510,569819524,684660958,0,0,12.59,17.39
156,(주)경동나비엔,9450,Dec-18,12739510,12739510,12739510,12739510,618058456,726741615,0,0,8.47,6.15
157,(주)경동나비엔,9450,Dec-19,12739510,12739510,12739510,12739510,655419303,774290704,0,0,6.04,6.54
158,(주)경동도시가스,267290,Dec-17,11792658,0,11792658,0,870828897,871548284,-7.43,-7.43,32.87,12.56
159,(주)경동도시가스,267290,Dec-18,11792658,11792658,11792658,11792658,1605687067,1606531867,inf,inf,84.39,84.33
160,(주)경동도시가스,267290,Dec-19,14738515,11792658,14738515,11792658,1421866212,1422707835,24.98,24.98,-11.45,-11.44
161,(주)경동인베스트,12320,Dec-11,17424000,15840000,17424000,15840000,1806174764,1847666903,47.75,47.75,27.03,29.87
162,(주)경동인베스트,12320,Dec-12,17424000,17424000,17424000,17424000,2403814656,2502642394,10,10,33.09,35.45
163,(주)경동인베스트,12320,Dec-13,17424000,17424000,17424000,17424000,2664100017,2788264380,0,0,10.83,11.41
164,(주)경동인베스트,12320,Dec-14,17424000,17424000,17424000,17424000,2399450987,2603059058,0,0,-9.93,-6.64
165,(주)경동인베스트,12320,Dec-15,17424000,17424000,17424000,17424000,1352478311,1604168482,0,0,-43.63,-38.37
166,(주)경동인베스트,12320,Dec-16,17424000,17424000,17424000,17424000,1021002691,1181902637,0,0,-24.51,-26.32
167,(주)경동인베스트,12320,Dec-17,11825115,17424000,11825115,17424000,612436,195069859,-32.13,-32.13,-99.94,-83.5
168,(주)경동인베스트,12320,Dec-18,11825115,11825115,11825115,11825115,7460898,228644016,-32.13,-32.13,1118.23,17.21
169,(주)경동인베스트,12320,Dec-19,11825115,11825115,11825115,11825115,8641051,271765025,0,0,15.82,18.86
170,(주)경방,50,Dec-11,10400000,10400000,10400000,10400000,275746943,348136369,-12.05,-12.05,3091.13,28.1
171,(주)경방,50,Dec-12,10400000,10400000,10400000,10400000,265409209,333620804,0,0,-3.75,-4.17
172,(주)경방,50,Dec-13,12461490,10400000,12461490,10400000,264782077,347189559,19.82,19.82,-0.24,4.07
173,(주)경방,50,Dec-14,13707635,12461490,13707635,12461490,256979444,329036023,31.8,31.8,-2.95,-5.23
174,(주)경방,50,Dec-15,13707635,13707635,13707635,13707635,307744480,357628146,10,10,19.75,8.69
175,(주)경방,50,Dec-16,13707635,13707635,13707635,13707635,313876822,377445013,0,0,1.99,5.54
176,(주)경방,50,Dec-17,13707635,13707635,13707635,13707635,288103985,360788750,0,0,-8.21,-4.41
177,(주)경방,50,Dec-18,13707635,13707635,13707635,13707635,279085217,351438926,0,0,-3.13,-2.59
178,(주)경방,50,Dec-19,13707635,13707635,13707635,13707635,253552382,343892085,0,0,-9.15,-2.15
179,(주)경보제약,214390,Dec-15,11953430,10758085,11111111.11,11111111.11,178032632,11111111.11,-12.8,-18.94,-29.78,-96.77
180,(주)경보제약,214390,Dec-16,11953430,11953430,11111111.11,11111111.11,186726170,11111111.11,11.11,1254789.63,4.88,
181,(주)경보제약,214390,Dec-17,11953430,11953430,11111111.11,11111111.11,191661374,11111111.11,0,1254789.63,2.64,
182,(주)경보제약,214390,Dec-18,11953430,11953430,11111111.11,11111111.11,201343596,11111111.11,0,1254789.63,5.05,
183,(주)경보제약,214390,Dec-19,11953430,11953430,11111111.11,11111111.11,191706189,11111111.11,0,1254789.63,-4.79,
184,(주)경인양행,12610,Dec-11,18750000,18750000,18750000,18750000,128707611,233095049,56.86,1254789.63,-32.86,1997.86
185,(주)경인양행,12610,Dec-12,18750000,18750000,18750000,18750000,141304459,218604655,0,0,9.79,-6.22
186,(주)경인양행,12610,Dec-13,20198183,18750000,20198183,18750000,183106757,260808400,7.72,7.72,29.58,19.31
187,(주)경인양행,12610,Dec-14,20198183,20198183,20198183,20198183,190395047,277181095,7.72,7.72,3.98,6.28
188,(주)경인양행,12610,Dec-15,20198183,20198183,20198183,20198183,175006703,263163677,0,0,-8.08,-5.06
189,(주)경인양행,12610,Dec-16,20198183,20198183,20198183,20198183,179267850,274873817,0,0,2.43,4.45
190,(주)경인양행,12610,Dec-17,20198183,20198183,20198183,20198183,193975818,299987729,0,0,8.2,9.14
191,(주)경인양행,12610,Dec-18,20198183,20198183,20198183,20198183,222659442,331102011,0,0,14.79,10.37
192,(주)경인양행,12610,Dec-19,20393183,20198183,20393183,20198183,245244968,358802386,0.97,0.97,10.14,8.37
193,(주)고려시멘트,198440,Dec-14,11111111.11,11111111.11,11111111.11,11111111.11,11111111.11,11111111.11,-44.99,-44.99,-95.47,-96.9
194,(주)고려시멘트,198440,Dec-15,11111111.11,11111111.11,11111111.11,11111111.11,11111111.11,11111111.11,1254789.63,1254789.63,,
195,(주)고려시멘트,198440,Dec-16,11111111.11,11111111.11,11111111.11,11111111.11,11111111.11,11111111.11,1254789.63,1254789.63,,
196,(주)고려시멘트,198440,Dec-17,3047996,2347996,11111111.11,11111111.11,87660276,11111111.11,1254789.63,1254789.63,,
197,(주)고려시멘트,198440,Dec-18,3197996,3047996,11111111.11,11111111.11,85775723,11111111.11,36.2,1254789.63,-2.15,
