회사명,거래소코드,회계년도,영업이익(개별),영업이익(연결)
(주)금양,1570,Dec-11,6136009,6952664
(주)금양,1570,Dec-12,6409859,6614054
(주)금양,1570,Dec-13,5188276,5644293
(주)금양,1570,Dec-14,7001769,5163631
(주)금양,1570,Dec-15,8205515,6855670
(주)금양,1570,Dec-16,8874219,12127454
(주)금양,1570,Dec-17,5934740,13140970
(주)금양,1570,Dec-18,6516687,13526326
(주)금양,1570,Dec-19,5271746,9211215
(주)금호에이치티,214330,Dec-15,20514465,20339189
(주)금호에이치티,214330,Dec-16,16480586,14295443
(주)금호에이치티,214330,Dec-17,11007981,8924225
(주)금호에이치티,214330,Dec-18,7513990,10493447
(주)금호에이치티,214330,Dec-19,4530372,4059148
(주)금화피에스시,36190,Dec-10,14380865,0
(주)금화피에스시,36190,Dec-11,16448549,0
(주)금화피에스시,36190,Dec-12,20453132,0
(주)금화피에스시,36190,Dec-13,25744446,27103680
(주)금화피에스시,36190,Dec-14,23011531,23448696
(주)금화피에스시,36190,Dec-15,26233196,27682716
(주)금화피에스시,36190,Dec-16,28240507,29816098
(주)금화피에스시,36190,Dec-17,33131391,33863832
(주)금화피에스시,36190,Dec-18,39495035,41384788
(주)금화피에스시,36190,Dec-19,30433094,34327291
(주)기가레인,49080,Dec-13,12814521,12948738
(주)기가레인,49080,Dec-14,10512950,9101816
(주)기가레인,49080,Dec-15,-18745702,-18852731
(주)기가레인,49080,Dec-16,-9647595,-9108288
(주)기가레인,49080,Dec-17,4705145,5232144
(주)기가레인,49080,Dec-18,-1892191,-2497484
(주)기가레인,49080,Dec-19,-26726550,-29598748
(주)기산텔레콤,35460,Dec-10,3947701,5255734
(주)기산텔레콤,35460,Dec-11,-7302125,-10359858
(주)기산텔레콤,35460,Dec-12,3866590,1714513
(주)기산텔레콤,35460,Dec-13,2083934,5120351
(주)기산텔레콤,35460,Dec-14,234218,1747320
(주)기산텔레콤,35460,Dec-15,150840,1595421
(주)기산텔레콤,35460,Dec-16,-1972410,-2914471
(주)기산텔레콤,35460,Dec-17,-848554,-3230591
(주)기산텔레콤,35460,Dec-18,-2790222,-2927420
(주)기산텔레콤,35460,Dec-19,2565963,3995820
(주)까뮤이앤씨,13700,Dec-10,9518352,0
(주)까뮤이앤씨,13700,Dec-11,-132765820,0
(주)까뮤이앤씨,13700,Dec-12,3874241,0
(주)까뮤이앤씨,13700,Dec-13,-1085474,0
(주)까뮤이앤씨,13700,Dec-14,2849967,0
(주)까뮤이앤씨,13700,Dec-15,4029705,0
(주)까뮤이앤씨,13700,Dec-16,4443394,0
(주)까뮤이앤씨,13700,Dec-17,10091337,0
(주)까뮤이앤씨,13700,Dec-18,4050403,0
(주)까뮤이앤씨,13700,Dec-19,14845482,0
(주)까스텔바작,308100,Dec-19,9287318,9018784
(주)나노,187790,Dec-14,0,0
(주)나노,187790,Dec-15,-7239111,-8471990
(주)나노,187790,Dec-16,-9411058,-14162416
(주)나노,187790,Dec-17,1526011,1661616
(주)나노,187790,Dec-18,783196,2193238
(주)나노,187790,Dec-19,1381812,-869772
(주)나노브릭,286750,Dec-19,-1512606,-1512606
(주)나노신소재,121600,Dec-11,4510951,4489991
(주)나노신소재,121600,Dec-12,-599483,-699837
(주)나노신소재,121600,Dec-13,1360266,1396875
(주)나노신소재,121600,Dec-14,3639250,3699232
(주)나노신소재,121600,Dec-15,9164440,9096515
(주)나노신소재,121600,Dec-16,6310058,6294911
(주)나노신소재,121600,Dec-17,8506727,8531077
(주)나노신소재,121600,Dec-18,8659690,8749523
(주)나노신소재,121600,Dec-19,5191474,5143898
(주)나노엔텍,39860,Dec-10,-1788704,-4832068
(주)나노엔텍,39860,Dec-11,-7866305,-11116954
(주)나노엔텍,39860,Dec-12,-4560857,-5328956
(주)나노엔텍,39860,Dec-13,1088130,-473071
(주)나노엔텍,39860,Dec-14,259649,-2591623
(주)나노엔텍,39860,Dec-15,-3336702,-7211151
(주)나노엔텍,39860,Dec-16,-8642286,-9685305
(주)나노엔텍,39860,Dec-17,2944761,1672406
(주)나노엔텍,39860,Dec-18,3236123,2825936
(주)나노엔텍,39860,Dec-19,3583987,3051217
(주)나무가,190510,Dec-15,22632879,25666181
(주)나무가,190510,Dec-16,-1785464,-669505
(주)나무가,190510,Dec-17,-22688891,-31479937
(주)나무가,190510,Dec-18,8215658,1857185
(주)나무가,190510,Dec-19,2906028,2666026
(주)나스미디어,89600,Dec-13,6058109,0
(주)나스미디어,89600,Dec-14,8601869,0
(주)나스미디어,89600,Dec-15,11693294,0
(주)나스미디어,89600,Dec-16,14615304,15433276
(주)나스미디어,89600,Dec-17,25654209,34298135
(주)나스미디어,89600,Dec-18,19351123,24946232
(주)나스미디어,89600,Dec-19,23389052,30558603
(주)나이벡,138610,Dec-11,-1955771,0
(주)나이벡,138610,Dec-12,-805135,0
(주)나이벡,138610,Dec-13,-2637399,0
(주)나이벡,138610,Dec-14,-3024927,0
(주)나이벡,138610,Dec-15,-1583718,0
(주)나이벡,138610,Dec-16,-2499774,0
(주)나이벡,138610,Dec-17,-1128739,0
(주)나이벡,138610,Dec-18,-3402362,0
(주)나이벡,138610,Dec-19,-960251,0
(주)나이스디앤비,130580,Dec-11,2855234,0
(주)나이스디앤비,130580,Dec-12,3200318,0
(주)나이스디앤비,130580,Dec-13,3312852,0
(주)나이스디앤비,130580,Dec-14,4103058,0
(주)나이스디앤비,130580,Dec-15,4929355,4943229
(주)나이스디앤비,130580,Dec-16,4752171,6465327
(주)나이스디앤비,130580,Dec-17,6644056,8454239
(주)나이스디앤비,130580,Dec-18,8817161,10423254
(주)나이스디앤비,130580,Dec-19,10084114,12798062
(주)나이스홀딩스,34310,Dec-10,1515414,16105436
(주)나이스홀딩스,34310,Dec-11,8388023,46386310
(주)나이스홀딩스,34310,Dec-12,13242409,44716912
(주)나이스홀딩스,34310,Dec-13,6707280,73230416
(주)나이스홀딩스,34310,Dec-14,5482041,71783757
(주)나이스홀딩스,34310,Dec-15,8149950,91245321
(주)나이스홀딩스,34310,Dec-16,15308859,126926940
(주)나이스홀딩스,34310,Dec-17,18273164,122598327
(주)나이스홀딩스,34310,Dec-18,22616230,128330972
(주)나이스홀딩스,34310,Dec-19,27467348,154235020
(주)나인테크,267320,Dec-17,0,0
(주)나인테크,267320,Dec-18,0,0
(주)나인테크,267320,Dec-19,0,0
(주)남선알미늄,8350,Dec-10,5634302,5717290
(주)남선알미늄,8350,Dec-11,4913867,4920524
(주)남선알미늄,8350,Dec-12,-3928790,0
(주)남선알미늄,8350,Dec-13,13600289,0
(주)남선알미늄,8350,Dec-14,13927459,0
(주)남선알미늄,8350,Dec-15,17100779,0
(주)남선알미늄,8350,Dec-16,24179476,0
(주)남선알미늄,8350,Dec-17,20750090,0
