회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원)
(주)경인양행,012610,2011/12,245825940,319596954,69431560,136165573,99039937,166259207,158882273,176292506
(주)경인양행,012610,2012/12,241045608,287452678,67259638,124092900,94723927,146242797,162112825,174988685
(주)경인양행,012610,2013/12,274570963,316944796,72282759,127667556,123143650,175887375,178074513,189744314
(주)경인양행,012610,2014/12,267331084,313039125,77811393,135555605,107227115,164606526,186433506,198238667
(주)경인양행,012610,2015/12,273778266,326687437,76154669,136115404,113173448,176664098,185903130,201125304
(주)경인양행,012610,2016/12,290035389,344298515,77953872,137784128,126364739,191409058,191021720,208293196
(주)경인양행,012610,2017/12,296909084,357951470,86525558,149692038,125062666,193184742,190844102,210934933
(주)경인양행,012610,2018/12,344908257,412996589,90678289,155376235,165167110,234817064,198237400,223759383
(주)경인양행,012610,2019/12,381063538,472081003,119519529,194110502,172620331,251884675,201086327,237433141
(주)고려시멘트,198440,2014/12,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,
(주)고려시멘트,198440,2017/12,115881620,,47901220,,38542950,,77394108,
(주)고려시멘트,198440,2018/12,127536833,,48776544,,49955334,,86510962,
(주)고려시멘트,198440,2019/12,127035573,,51139394,,46591282,,88445378,
(주)고영테크놀러지,098460,2011/12,87017886,87006201,14869610,15041656,61560094,63304178,70382391,69622726
(주)고영테크놀러지,098460,2012/12,103019642,103351965,15336664,15547786,75787332,77857574,84090906,83401095
(주)고영테크놀러지,098460,2013/12,121329325,120951617,14690294,14825443,93556579,94895999,100051693,98319609
(주)고영테크놀러지,098460,2014/12,141873467,141720465,19812580,19958721,107119140,108649874,118348519,115835240
(주)고영테크놀러지,098460,2015/12,160170850,158857627,19340953,19713468,124933566,121834639,133570714,131475647
(주)고영테크놀러지,098460,2016/12,194332855,195121241,23462507,23842197,156029191,154891864,157572806,157267580
(주)고영테크놀러지,098460,2017/12,205696350,205207385,24158929,25337806,159374622,161356541,164836232,161317171
(주)고영테크놀러지,098460,2018/12,279985447,279059436,32377941,33117594,231667150,227563739,229271175,225866639
(주)고영테크놀러지,098460,2019/12,308020011,305481184,35418136,37283940,229213476,225797248,252020628,243668528
(주)골드앤에스,035290,2011/12,46347129,46677146,995140,1027834,23165184,23477041,22637807,22436829
(주)골드앤에스,035290,2012/12,51062616,51950606,851327,988045,27310447,26661256,26252682,25517817
(주)골드앤에스,035290,2013/12,34508798,51442505,810357,23605894,17985887,15792977,9813150,13127355
(주)골드앤에스,035290,2014/12,28884288,46528474,502559,22767398,15782408,15072221,9084260,12082621
(주)골드앤에스,035290,2015/12,23597566,24102094,299779,330937,15122533,15364121,14991660,15160254
(주)골드앤에스,035290,2016/12,18296141,18671644,193816,204183,8552277,8660668,14102143,14268527
(주)골드앤에스,035290,2017/12,16994788,17173934,336869,338535,10974294,10831000,13104737,13346076
(주)골드앤에스,035290,2018/12,42472631,42472631,11191043,11191043,21031370,21031370,13867013,13779569
(주)골드앤에스,035290,2019/12,16096170,16096170,3722968,3722968,3910189,3910189,-5001092,-5091573
(주)골드퍼시픽,038530,2011/12,27473520,,10069863,,15105931,,21829724,
(주)골드퍼시픽,038530,2012/12,29861540,,8743387,,19029706,,22928402,
(주)골드퍼시픽,038530,2013/12,30517744,33687572,7249195,9882790,15961156,16708814,17116411,16190999
(주)골드퍼시픽,038530,2014/12,31936409,41948832,5643164,9909463,15761409,23894969,16902289,16567915
(주)골드퍼시픽,038530,2015/12,27495738,28573328,2580222,2580222,14304863,14304863,20115559,21193149
(주)골드퍼시픽,038530,2016/12,11122066,,1333057,,5438550,,1889641,
(주)골드퍼시픽,038530,2017/12,26567967,,1297094,,17215160,,5364494,
(주)골드퍼시픽,038530,2018/12,37288362,37825442,83408,94653,22006122,23990386,20086698,20086698
(주)골드퍼시픽,038530,2019/12,72945743,,908909,,28455147,,21069318,
(주)골프존,215000,2015/12,171629353,178132253,74039599,77871991,71290784,81295773,105063093,108853909
(주)골프존,215000,2016/12,177635830,187914226,69486714,73081406,75788492,89781733,115886579,120648626
(주)골프존,215000,2017/12,239011847,253672419,66800539,71606171,142686039,160591890,181394935,189381881
(주)골프존,215000,2018/12,254578679,254057808,81753994,83642928,134088763,145265354,197436844,194919561
(주)골프존,215000,2019/12,304860836,312587283,110267389,115927449,70491340,81730468,205529589,200042879
(주)골프존뉴딘홀딩스,121440,2011/12,373246120,378054302,49239742,52306467,249046740,276277197,348104397,348968757
(주)골프존뉴딘홀딩스,121440,2012/12,512614848,540922890,136357274,198231941,267719852,267312187,410999847,411636973
(주)골프존뉴딘홀딩스,121440,2013/12,589946855,637840057,136081977,222285916,315880696,280228001,427556455,424543916
(주)골프존뉴딘홀딩스,121440,2014/12,586599347,762037240,178117980,454297223,174950116,176744598,473636026,486385956
(주)골프존뉴딘홀딩스,121440,2015/12,585663015,767325175,98347480,401308099,45672526,97152205,551703320,551360423
(주)골프존뉴딘홀딩스,121440,2016/12,561892958,760772930,98552925,398579767,63048320,102314350,506841449,528087415
(주)골프존뉴딘홀딩스,121440,2017/12,536244772,756500949,92900686,394254656,46961353,117348020,480074463,500912642
(주)골프존뉴딘홀딩스,121440,2018/12,563387103,774743339,83633825,380012689,59445798,99968915,484480922,485969871
(주)골프존뉴딘홀딩스,121440,2019/12,537526345,776384700,70002997,360513819,30696570,125716505,450069457,447197508
(주)광림,014200,2011/12,86353051,,23759906,,49443117,,56677106,
(주)광림,014200,2012/12,89766075,,23876350,,53533329,,63502275,
(주)광림,014200,2013/12,101592603,,23947251,,66494275,,64796802,
(주)광림,014200,2014/12,120284256,244886480,23724344,56739580,53880127,149961809,66259380,128970849
(주)광림,014200,2015/12,146338755,,24452723,,57623469,,80899308,
(주)광림,014200,2016/12,152080347,229596737,25674614,70932936,51509785,88113464,90221084,113505965
(주)광림,014200,2017/12,369582323,208058303,26240529,58197036,255751980,78175789,176556237,107690687
(주)광림,014200,2018/12,236379465,187812629,24128152,59154003,145430179,75325405,120931215,90075229
(주)광림,014200,2019/12,193568854,252468254,23627901,60314708,82568345,114526470,60749234,90772137
(주)광명전기,017040,2011/12,99992644,123886511,11465013,20386015,50517306,70952226,56987613,62936103
(주)광명전기,017040,2012/12,104218586,131064345,11648472,18456738,59736559,80616850,55136666,62992204
(주)광명전기,017040,2013/12,105483729,120910764,11245458,17081607,64082992,78305715,60793004,69847678
(주)광명전기,017040,2014/12,119791644,138580023,12676386,17811443,76850052,93730239,67539909,78696030
(주)광명전기,017040,2015/12,107719518,131457603,12392219,17802534,63045495,83058514,71275955,87829336
(주)광명전기,017040,2016/12,125405290,146859319,12127197,19037693,62147467,72296041,86335358,98063360
(주)광명전기,017040,2017/12,128881408,152717140,15402240,34515922,64686772,72825667,85430878,96648221
(주)광명전기,017040,2018/12,124159091,151823119,21240625,39291851,59981263,69980314,87989865,98748349
(주)광명전기,017040,2019/12,140591786,156712705,20755434,26207863,77171530,87126906,94186043,105398860
(주)광무,029480,2011/12,85836111,75946478,17456144,18150942,35909129,37578091,49296267,37831616
(주)광무,029480,2012/12,60163490,55788602,12347204,12485607,16266767,23778931,36518143,29507217
(주)광무,029480,2013/12,28890332,35384615,10935118,11030800,7025489,14314055,11346800,8786699
(주)광무,029480,2014/12,27862528,,8657715,,9475626,,8505450,
(주)광무,029480,2015/12,21133216,,8108941,,5286509,,7744452,
(주)광무,029480,2016/12,29089768,,8053509,,11893960,,8053231,
(주)광무,029480,2017/12,28950503,,7752645,,14949942,,13552175,
(주)광무,029480,2018/12,26017306,28431748,7903725,8423811,12582516,17301470,9695091,10729216
(주)광무,029480,2019/12,57156720,63139837,2004796,3934491,33233586,39307761,22202195,22844122
(주)광주신세계,037710,2011/12,380753715,,95759237,,260854658,,310214632,
(주)광주신세계,037710,2012/12,430662968,,118344439,,287723501,,361615843,
(주)광주신세계,037710,2013/12,656355808,,113548429,,25873334,,408690826,
(주)광주신세계,037710,2014/12,652758688,,112432843,,24561635,,448624926,
(주)광주신세계,037710,2015/12,659495158,,111688001,,33510638,,491380796,
(주)광주신세계,037710,2016/12,655502726,,109768330,,32426270,,534290186,
(주)광주신세계,037710,2017/12,655018971,,108947528,,33243825,,579363832,
(주)광주신세계,037710,2018/12,696204982,,107893227,,77504431,,620656716,
