,회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),0,1,2,3
235,(주)골프존뉴딘홀딩스,121440,Dec-15,45672526,97152205,0,23999862,-73.89,-45.03,-100,-21.51
236,(주)골프존뉴딘홀딩스,121440,Dec-16,63048320,102314350,0,33842758,38.04,5.31,,41.01
237,(주)골프존뉴딘홀딩스,121440,Dec-17,46961353,117348020,0,40345794,-25.52,14.69,,19.22
238,(주)골프존뉴딘홀딩스,121440,Dec-18,59445798,99968915,0,51388491,26.58,-14.81,,27.37
239,(주)골프존뉴딘홀딩스,121440,Dec-19,30696570,125716505,0,48390470,-48.36,25.76,,-5.83
240,(주)광림,14200,Dec-11,49443117,11111111.11,25192191,11111111.11,61.07,-91.16,inf,-77.04
241,(주)광림,14200,Dec-12,53533329,11111111.11,27920478,11111111.11,8.27,,10.83,
242,(주)광림,14200,Dec-13,66494275,11111111.11,20425937,11111111.11,24.21,,-26.84,
243,(주)광림,14200,Dec-14,53880127,149961809,23384110,76887713,-18.97,,14.48,
244,(주)광림,14200,Dec-15,57623469,11111111.11,21555582,11111111.11,6.95,-92.59,-7.82,-85.55
245,(주)광림,14200,Dec-16,51509785,88113464,21419610,26522759,-10.61,,-0.63,
246,(주)광림,14200,Dec-17,255751980,78175789,16099250,21761125,396.51,-11.28,-24.84,-17.95
247,(주)광림,14200,Dec-18,145430179,75325405,19113946,25240021,-43.14,-3.65,18.73,15.99
248,(주)광림,14200,Dec-19,82568345,114526470,19396901,27735699,-43.22,52.04,1.48,9.89
249,(주)광명전기,17040,Dec-11,50517306,70952226,8759316,12871667,-38.82,-38.05,-54.84,-53.59
250,(주)광명전기,17040,Dec-12,59736559,80616850,13110921,16291860,18.25,13.62,49.68,26.57
251,(주)광명전기,17040,Dec-13,64082992,78305715,12091794,14379994,7.28,-2.87,-7.77,-11.74
252,(주)광명전기,17040,Dec-14,76850052,93730239,14489868,17009058,19.92,19.7,19.83,18.28
