,회사명,총자본증가율,0,1
487,(주)남성,-0.44,-36.64,-24.56
488,(주)남성,-0.68,2.2,-0.68
489,(주)남성,-9.64,-10.02,-9.64
490,(주)남성,-2.28,0.09,-2.28
491,(주)남성,3.18,3.73,3.18
492,(주)남성,1.39,-4.32,1.39
493,(주)남성,-0.54,0.4,-0.54
494,(주)남성,0.81,-0.8,0.81
495,(주)남성,-0.14,-0.18,-0.14
496,(주)내츄럴엔도텍,-94.57,-59.44,-94.57
497,(주)내츄럴엔도텍,29.91,29.91,11111111.11
498,(주)내츄럴엔도텍,-23.3,-23.3,11111111.11
499,(주)내츄럴엔도텍,23.68,24.59,23.68
500,(주)내츄럴엔도텍,-0.22,-10.36,-0.22
501,(주)내츄럴엔도텍,-28.61,-23.19,-28.61
502,(주)내츄럴엔도텍,-20.24,-20.54,-20.24
503,(주)네오리진,49.22,-17.62,3.53
504,(주)네오리진,13.4,13.4,-78.0
505,(주)네오리진,-4.02,-4.02,11111111.11
506,(주)네오리진,-27.26,-27.26,11111111.11
507,(주)네오리진,-49.03,-49.03,11111111.11
508,(주)네오리진,1.13,1.13,11111111.11
509,(주)네오리진,13.69,13.69,11111111.11
510,(주)네오리진,-17.14,-17.14,-37.17
511,(주)네오리진,-4.25,-4.25,11111111.11
512,(주)네오셈,0.0,-21.01,0.0
513,(주)네오셈,1254789.63,11111111.11,11111111.11
514,(주)네오오토,32.47,97.13,-82.68
515,(주)네오오토,11.96,11.96,11111111.11
516,(주)네오오토,1.67,1.67,11111111.11
517,(주)네오오토,3.94,3.94,11111111.11
518,(주)네오오토,-1.01,-1.01,11111111.11
519,(주)네오위즈,44.44,319.21,5536.02
520,(주)네오위즈,-0.07,4.4,-0.07
521,(주)네오위즈,-19.01,-10.71,-19.01
522,(주)네오위즈,-16.48,-16.28,-16.48
523,(주)네오위즈,-11.57,-2.69,-11.57
524,(주)네오위즈,-15.21,-14.3,-15.21
525,(주)네오위즈,-4.12,-6.96,-4.12
526,(주)네오위즈,20.49,3.23,20.49
527,(주)네오위즈,8.53,-1.3,8.53
528,(주)네오위즈홀딩스,10.87,-22.88,75.84
529,(주)네오위즈홀딩스,-1.46,4.22,-1.46
530,(주)네오위즈홀딩스,-14.66,-10.41,-14.66
531,(주)네오위즈홀딩스,-2.47,3.69,-2.47
532,(주)네오위즈홀딩스,-0.54,35.2,-0.54
533,(주)네오위즈홀딩스,-6.57,-10.77,-6.57
534,(주)네오위즈홀딩스,-1.61,-4.51,-1.61
535,(주)네오위즈홀딩스,12.54,-2.35,12.54
536,(주)네오위즈홀딩스,5.34,-0.21,5.34
537,(주)네오크레마,-92.41,-85.0,-92.41
538,(주)네오티스,11.53,11111111.11,11111111.11
539,(주)네오티스,3.18,3.18,11111111.11
540,(주)네오티스,17.1,17.1,11111111.11
541,(주)네오티스,-0.68,-2.17,-0.68
542,(주)네오티스,0.37,0.28,0.37
543,(주)네오티스,-0.07,0.52,-0.07
544,(주)네오티스,-4.54,-3.33,-4.54
545,(주)네오티스,6.92,7.27,6.92
546,(주)네오티스,0.31,0.3,0.31
547,(주)네오팜,2.91,-59.77,-87.22
548,(주)네오팜,0.42,0.42,11111111.11
549,(주)네오팜,1.81,1.81,11111111.11
550,(주)네오팜,3.1,3.1,11111111.11
551,(주)네오팜,12.76,12.76,11111111.11
552,(주)네오팜,16.29,16.29,11111111.11
553,(주)네오팜,21.9,22.97,21.9
554,(주)네오팜,28.63,28.85,28.63
555,(주)네오팜,68.3,65.52,68.3
556,(주)네오펙트,-70.73,-66.5,-70.73
