회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원)
(주)경인양행,012610,2020/12,-5436685,3369847,3475893,4733181,-3466892,-4741525
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,3017621,,179709,,-121036,
(주)고려시멘트,198440,2018/12,3837563,,416976,,-395002,
(주)고려시멘트,198440,2019/12,-459627,,425257,,-425258,
(주)고려시멘트,198440,2020/12,4280746,,104184,,-104184,
(주)고바이오랩,348150,2020/12,-10213856,-12344974,708106,708106,-14525,-14525
(주)고영테크놀러지,098460,2010/12,19485265,20490535,349377,369731,-119540,-139894
(주)고영테크놀러지,098460,2011/12,19597519,18820907,0,826,0,-826
(주)고영테크놀러지,098460,2012/12,20358471,21443286,0,13176,0,-13176
(주)고영테크놀러지,098460,2013/12,17778872,16773438,0,37782,0,-37781
(주)고영테크놀러지,098460,2014/12,27729256,28155311,0,16828,0,-16828
(주)고영테크놀러지,098460,2015/12,26172507,23449593,0,10459,0,-10459
(주)고영테크놀러지,098460,2016/12,31039820,33184488,0,16576,0,-16576
(주)고영테크놀러지,098460,2017/12,45513084,43748905,0,7124,0,-7124
(주)고영테크놀러지,098460,2018/12,46196834,45983316,0,7874,0,-7874
(주)고영테크놀러지,098460,2019/12,40057965,33331312,214477,295067,-214477,-295067
(주)고영테크놀러지,098460,2020/12,13572990,15842903,185596,257714,-185596,-257714
(주)골드앤에스,035290,2010/12,-8191503,-8206248,1136681,1327736,-947421,-947421
(주)골드앤에스,035290,2011/12,1392408,1295340,1111573,1144194,-963211,-995831
(주)골드앤에스,035290,2012/12,-2363142,-2330876,1211151,1222442,-947419,-958709
(주)골드앤에스,035290,2013/12,-4982102,-6493110,1083780,1696741,-1792304,-2424345
(주)골드앤에스,035290,2014/12,-2318778,-3079598,1343058,1352508,-966571,-1676801
(주)골드앤에스,035290,2015/12,1062021,1143768,563197,563197,-329103,-329103
(주)골드앤에스,035290,2016/12,389642,402070,155685,155685,-115484,-125993
(주)골드앤에스,035290,2017/12,-3690116,-3694041,134375,141278,-62308,-69211
(주)골드앤에스,035290,2018/12,-4559128,-4667030,1022896,1022918,-328373,-328396
(주)골드앤에스,035290,2019/12,-7142117,-7142117,5029167,5029167,-1865576,-1865576
(주)골드앤에스,035290,2020/12,-2343112,-2343112,2401604,2401604,-141187,-141187
(주)골드퍼시픽,038530,2010/12,519392,,0,,0,
(주)골드퍼시픽,038530,2011/12,1726132,,121872,,0,
(주)골드퍼시픽,038530,2012/12,726901,,273605,,-108927,
(주)골드퍼시픽,038530,2013/12,-5584540,-6137582,516393,541030,-221193,-245350
(주)골드퍼시픽,038530,2014/12,-5975389,-5819314,876341,1343820,-767443,-1234922
(주)골드퍼시픽,038530,2015/12,-8197750,-8243124,599352,859307,-533365,-793320
(주)골드퍼시픽,038530,2016/12,-8525119,,489114,,-489114,
(주)골드퍼시픽,038530,2017/12,937598,,0,,-574118,
(주)골드퍼시픽,038530,2018/12,-506241,-904003,1331186,1335789,-830512,-835115
(주)골드퍼시픽,038530,2019/12,-3421041,,3838407,,-981279,
(주)골드퍼시픽,038530,2020/12,684966,,3801251,,-390768,
(주)골프존,215000,2015/12,47628136,49582444,711133,711609,-696908,-696908
(주)골프존,215000,2016/12,43961456,45442469,745423,759926,-740174,-740174
(주)골프존,215000,2017/12,33528808,37457577,708492,713146,-706280,-706280
(주)골프존,215000,2018/12,29085694,28160266,744490,748762,-743684,-743684
(주)골프존,215000,2019/12,36199059,32297494,814308,1003551,-821436,-1002071
(주)골프존,215000,2020/12,51582977,51572914,1234876,1513019,-1159398,-1432951
(주)골프존뉴딘홀딩스,121440,2011/12,54711939,54442032,31093,49427,0,-2306
(주)골프존뉴딘홀딩스,121440,2012/12,73882041,69002648,1521547,2220350,-1558255,-1599792
(주)골프존뉴딘홀딩스,121440,2013/12,84447683,80489158,2123633,3098214,-2039162,-3018191
(주)골프존뉴딘홀딩스,121440,2014/12,101367116,102393717,1558321,4644206,-75428,-3371059
(주)골프존뉴딘홀딩스,121440,2015/12,-13803824,-9349582,750150,6157929,-652651,-5262639
(주)골프존뉴딘홀딩스,121440,2016/12,-5563087,37005985,1256700,7082912,-1229395,-6782872
(주)골프존뉴딘홀딩스,121440,2017/12,-6824300,18422625,1386530,6961020,-1374177,-6775658
(주)골프존뉴딘홀딩스,121440,2018/12,-11005550,1114231,1550557,7655884,-1518195,-7472827
(주)골프존뉴딘홀딩스,121440,2019/12,-17956208,-3625436,1993026,10033231,-1970169,-9579227
(주)골프존뉴딘홀딩스,121440,2020/12,36116411,29999994,1946079,8772723,-1938463,-8352131
(주)광림,014200,2010/12,3477844,,1390913,,-1552614,
(주)광림,014200,2011/12,5263609,,1157233,,-994254,
(주)광림,014200,2012/12,1321582,,771343,,-777414,
(주)광림,014200,2013/12,3310917,,535375,,-523313,
(주)광림,014200,2014/12,1910652,2185491,1066049,3136508,-1049388,-3104992
(주)광림,014200,2015/12,1326666,,3060107,,-3040925,
(주)광림,014200,2016/12,171774,171774,1107586,1107586,-1102577,-1102577
(주)광림,014200,2017/12,2304157,-12369550,1405458,3872634,-1371103,-2374909
(주)광림,014200,2018/12,2202922,-1044494,1523489,4555761,-1541702,-3339978
(주)광림,014200,2019/12,3819332,-10983157,2782235,4779694,-1976499,-2930879
(주)광림,014200,2020/12,8224561,8844914,6340627,8299120,-3014680,-4174940
(주)광명전기,017040,2010/12,2176137,3414210,1158717,1525867,-1156440,-1541608
(주)광명전기,017040,2011/12,1483791,496117,942485,1301326,-916272,-1277407
(주)광명전기,017040,2012/12,3566142,4187750,844195,1153486,-800818,-1110473
(주)광명전기,017040,2013/12,8443372,10781483,755609,910253,-719509,-878907
(주)광명전기,017040,2014/12,10270079,12461662,579924,641850,-582223,-643782
(주)광명전기,017040,2015/12,3839499,9342095,411895,446487,-406735,-441336
(주)광명전기,017040,2016/12,3818917,3616733,324820,351616,-322032,-348783
(주)광명전기,017040,2017/12,3754872,2197753,255442,380323,-244161,-381284
(주)광명전기,017040,2018/12,2970976,3257516,299535,901989,-304369,-908797
(주)광명전기,017040,2019/12,7313078,7985837,320831,1088974,-325236,-1096308
(주)광명전기,017040,2020/12,4730459,4237433,240178,296609,-242431,-298039
(주)광무,029480,2010/12,3016953,3131491,4561190,4586758,-3234535,-3260103
(주)광무,029480,2011/12,-11400527,-13535610,4404751,4492739,-3529517,-3540547
(주)광무,029480,2012/12,-5614534,-5776949,2148753,2148753,-2039129,-2039129
(주)광무,029480,2013/12,-6899306,-13904969,1617920,1696638,-1903954,-1913954
(주)광무,029480,2014/12,1422352,,1269418,,-1471689,
(주)광무,029480,2015/12,-620363,,797006,,-633168,
(주)광무,029480,2016/12,1294011,,670738,,-630375,
(주)광무,029480,2017/12,199525,,623290,,-598877,
(주)광무,029480,2018/12,-671966,-1335245,418814,418814,-345826,-204968
(주)광무,029480,2019/12,-2260048,-3012624,958464,1037639,-265009,-278900
(주)광무,029480,2020/12,-3068879,-3573279,1780990,1865706,-738390,-726508
(주)광주신세계,037710,2010/12,50643373,,0,,0,
(주)광주신세계,037710,2011/12,58896505,,0,,0,
(주)광주신세계,037710,2012/12,58185712,,0,,0,
(주)광주신세계,037710,2013/12,55981723,,4284105,,-4038953,
(주)광주신세계,037710,2014/12,51835640,,4954855,,-4831997,
(주)광주신세계,037710,2015/12,54772399,,3570381,,-3283237,
(주)광주신세계,037710,2016/12,56047368,,1826606,,-2353911,
(주)광주신세계,037710,2017/12,56289748,,648024,,-648024,
(주)광주신세계,037710,2018/12,50068808,,69930,,-69930,
(주)광주신세계,037710,2019/12,55102645,,285124,,-2319,
(주)광주신세계,037710,2020/12,48310490,,291920,,-2988,
(주)구영테크,053270,2010/12,6941447,7839752,3118988,5214690,-3133876,-5229578
(주)구영테크,053270,2011/12,5189843,5159050,3681661,5373560,-3335172,-5027070
(주)구영테크,053270,2012/12,4839337,7488049,0,0,-3686911,-5399056
(주)구영테크,053270,2013/12,4463036,7492265,0,0,-3455522,-5300912
(주)구영테크,053270,2014/12,2782247,5438229,0,0,-2486911,-3860207
