,순이익증가율,순이익증가률개별,순이익증가률연결
2373,-12.91,-6.04,-12.91
2374,61.5,63.41,61.5
2375,40.25,35.97,40.25
2376,16.9,10.05,16.9
2377,1145.63,-5.26,-6.96
2378,30.64,25.33,30.64
2379,-72.23,-96.46,-72.23
2380,-68.66,157.38,-68.71
2381,-39.67,-19.28,-46.39
2382,-840.79,-502.49,-840.79
2383,1254789.63,11111111.11,11111111.11
2384,1254789.63,11111111.11,11111111.11
2385,-12.79,-12.79,0.0
2386,-2074.51,-2074.51,0.0
2387,0.0,11111111.11,0.0
2388,-84.48,11111111.11,-84.48
2389,39.01,18.3,39.01
2390,485.43,485.44,363.4
2391,-29.23,-29.23,0.0
2392,2.85,2.85,0.0
2393,-347.02,-347.02,0.0
2394,294.69,11111111.11,294.69
2395,-80.76,104.04,-75.02
2396,86.0,-25.97,171.96
2397,-122.63,-879.26,-122.63
2398,1254789.63,11111111.11,11111111.11
2399,-119.21,-99.38,-119.21
2400,-8829.43,-8829.43,11111111.11
2401,1254789.63,11111111.11,11111111.11
2402,0.0,11111111.11,0.0
2403,0.0,11111111.11,0.0
2404,-125.76,11111111.11,-125.76
2405,1254789.63,11111111.11,11111111.11
2406,1254789.63,11111111.11,11111111.11
2407,0.0,0.0,0.0
2408,-38.74,-74.09,-75.97
2409,-86.74,-93.35,-86.74
2410,-228.8,-360.44,-228.8
2411,1254789.63,11111111.11,11111111.11
2412,252.26,255.9,252.26
2413,-10.24,-6.91,-10.24
2414,-13.88,-10.64,-13.88
2415,-106.52,-103.83,-106.52
2416,1254789.63,11111111.11,11111111.11
2417,-53.32,-81.66,56.65
2418,-85.76,43.69,-85.76
2419,10.62,609.93,658.94
2420,-0.07,11.23,-0.07
2421,41.71,31.16,41.71
2422,-23.97,-22.61,-23.97
2423,50.3,46.91,50.3
2424,-26.6,-29.37,-26.1
2425,46.37,50.01,43.62
2426,-30.11,-29.67,-29.89
2427,-34.2,-34.48,-33.85
2428,16.18,-126.69,16.18
2429,0.0,11111111.11,0.0
2430,0.0,11111111.11,0.0
2431,55.24,55.24,0.0
2432,-19.06,-19.06,0.0
2433,-156.51,-156.51,0.0
2434,0.0,11111111.11,0.0
2435,0.0,11111111.11,0.0
2436,133.0,133.0,0.0
2437,278.26,1915.36,278.26
2438,20.64,27.2,20.64
2439,-25.4,-26.14,-25.21
2440,-0.08,0.5,-0.93
2441,-34.65,-35.46,-34.14
2442,16.12,13.26,16.12
2443,3.08,1.21,3.08
2444,15.49,15.28,15.49
2445,20.05,23.61,20.05
2446,-6.32,-87.91,-72.94
2447,1.9,1.9,0.0
2448,-70.74,-27.01,-70.74
2449,143.35,143.35,241.79
2450,-6.22,22.86,-6.22
2451,-67.28,-81.38,-67.28
2452,388.83,687.78,388.83
2453,52.75,52.52,52.75
2454,-55.79,-71.12,-61.67
2455,-110.66,-151.57,-110.66
2456,1254789.63,11111111.11,11111111.11
2457,94.13,94.13,11111111.11
2458,95.73,1741.76,111.85
2459,-44.09,-98.33,-28.82
2460,319.55,1541.59,322.42
2461,-65.45,-44.27,-66.04
2462,732.65,972.67,505.68
2463,-65.79,-91.54,-87.24
2464,-91.17,-91.17,0.0
2465,628.5,628.5,0.0
