,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
196,(주)고려시멘트,198440,Dec-17,115881620,11111111.11,,
197,(주)고려시멘트,198440,Dec-18,127536833,11111111.11,10.06,
198,(주)고려시멘트,198440,Dec-19,127035573,11111111.11,-0.39,
199,(주)고영테크놀러지,98460,Dec-11,87017886,87006201,-31.5,683.06
200,(주)고영테크놀러지,98460,Dec-12,103019642,103351965,18.39,18.79
201,(주)고영테크놀러지,98460,Dec-13,121329325,120951617,17.77,17.03
202,(주)고영테크놀러지,98460,Dec-14,141873467,141720465,16.93,17.17
203,(주)고영테크놀러지,98460,Dec-15,160170850,158857627,12.9,12.09
204,(주)고영테크놀러지,98460,Dec-16,194332855,195121241,21.33,22.83
205,(주)고영테크놀러지,98460,Dec-17,205696350,205207385,5.85,5.17
206,(주)고영테크놀러지,98460,Dec-18,279985447,279059436,36.12,35.99
207,(주)고영테크놀러지,98460,Dec-19,308020011,305481184,10.01,9.47
208,(주)골드앤에스,35290,Dec-11,46347129,46677146,-84.95,-84.72
209,(주)골드앤에스,35290,Dec-12,51062616,51950606,10.17,11.3
210,(주)골드앤에스,35290,Dec-13,34508798,51442505,-32.42,-0.98
211,(주)골드앤에스,35290,Dec-14,28884288,46528474,-16.3,-9.55
212,(주)골드앤에스,35290,Dec-15,23597566,24102094,-18.3,-48.2
213,(주)골드앤에스,35290,Dec-16,18296141,18671644,-22.47,-22.53
214,(주)골드앤에스,35290,Dec-17,16994788,17173934,-7.11,-8.02
215,(주)골드앤에스,35290,Dec-18,42472631,42472631,149.92,147.31
216,(주)골드앤에스,35290,Dec-19,16096170,16096170,-62.1,-62.1
217,(주)골드퍼시픽,38530,Dec-11,27473520,11111111.11,70.68,-30.97
218,(주)골드퍼시픽,38530,Dec-12,29861540,11111111.11,8.69,
219,(주)골드퍼시픽,38530,Dec-13,30517744,33687572,2.2,
220,(주)골드퍼시픽,38530,Dec-14,31936409,41948832,4.65,24.52
221,(주)골드퍼시픽,38530,Dec-15,27495738,28573328,-13.9,-31.89
222,(주)골드퍼시픽,38530,Dec-16,11122066,11111111.11,-59.55,-61.11
223,(주)골드퍼시픽,38530,Dec-17,26567967,11111111.11,138.88,
224,(주)골드퍼시픽,38530,Dec-18,37288362,37825442,40.35,
225,(주)골드퍼시픽,38530,Dec-19,72945743,11111111.11,95.63,-70.63
226,(주)골프존,215000,Dec-15,171629353,178132253,135.28,1503.19
227,(주)골프존,215000,Dec-16,177635830,187914226,3.5,5.49
228,(주)골프존,215000,Dec-17,239011847,253672419,34.55,34.99
229,(주)골프존,215000,Dec-18,254578679,254057808,6.51,0.15
230,(주)골프존,215000,Dec-19,304860836,312587283,19.75,23.04
231,(주)골프존뉴딘홀딩스,121440,Dec-11,373246120,378054302,22.43,20.94
232,(주)골프존뉴딘홀딩스,121440,Dec-12,512614848,540922890,37.34,43.08
233,(주)골프존뉴딘홀딩스,121440,Dec-13,589946855,637840057,15.09,17.92
234,(주)골프존뉴딘홀딩스,121440,Dec-14,586599347,762037240,-0.57,19.47
235,(주)골프존뉴딘홀딩스,121440,Dec-15,585663015,767325175,-0.16,0.69
236,(주)골프존뉴딘홀딩스,121440,Dec-16,561892958,760772930,-4.06,-0.85
237,(주)골프존뉴딘홀딩스,121440,Dec-17,536244772,756500949,-4.56,-0.56
238,(주)골프존뉴딘홀딩스,121440,Dec-18,563387103,774743339,5.06,2.41
