총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결),총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
0.57,0.57,534.04,537.5,277.7,271.84,1.29,1.19,474.78,475.57,0.57,0.57,2.41,2.4,1254789.63,1.05,0.57,537.5,271.84,1.19,475.57,0.57,2.4,1.05
0.54,0.54,533.65,535.75,326.04,322.35,1.35,1.27,506.5,507.09,0.54,0.54,2.4,2.39,1254789.63,0.95,0.54,535.75,322.35,1.27,507.09,0.54,2.39,0.95
0.47,0.48,601.83,603.68,306.66,304.69,1.28,1.23,497.37,497.86,0.47,0.48,2.28,2.27,1254789.63,0.81,0.48,603.68,304.69,1.23,497.86,0.48,2.27,0.81
0.41,0.41,595.27,595.97,180.13,179.45,1.13,1.1,414.87,415.45,0.41,0.41,2.17,2.16,1254789.63,0.73,0.41,595.97,179.45,1.1,415.45,0.41,2.16,0.73
0.42,0.42,307.59,307.88,158.76,158.0,1.14,1.13,409.09,409.75,0.42,0.42,2.23,2.23,1254789.63,0.84,0.42,307.88,158.0,1.13,409.75,0.42,2.23,0.84
2.29,1254789.63,15.92,1254789.63,3.79,1254789.63,14.19,1254789.63,4.83,1254789.63,2.29,1254789.63,2.6,1254789.63,1254789.63,1254789.63,2.29,15.92,3.79,14.19,4.83,2.29,2.6,
3.51,1254789.63,21.91,1254789.63,3.86,1254789.63,25.57,1254789.63,6.75,1254789.63,3.51,1254789.63,2.59,1254789.63,1254789.63,1254789.63,3.51,21.91,3.86,25.57,6.75,3.51,2.59,
1.24,1254789.63,13.2,1254789.63,1.71,1254789.63,11.01,1254789.63,4.14,1254789.63,1.24,1254789.63,1.27,1254789.63,1254789.63,1254789.63,1.24,13.2,1.71,11.01,4.14,1.24,1.27,
1.07,1254789.63,21.22,1254789.63,2.41,1254789.63,6.96,1254789.63,6.49,1254789.63,1.07,1254789.63,2.39,1254789.63,1254789.63,1254789.63,1.07,21.22,2.41,6.96,6.49,1.07,2.39,
0.93,1254789.63,27.28,1254789.63,2.27,1254789.63,4.96,1254789.63,5.46,1254789.63,0.93,1254789.63,2.29,1254789.63,1254789.63,1254789.63,0.93,27.28,2.27,4.96,5.46,0.93,2.29,
