회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),(대손충당금)(IFRS)(천원),(대손충당금)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS)(천원),회사채(IFRS연결)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)SNT에너지,100840,13-Dec,181309369,,91989174,,17793150,,65884045,,113510608,,198164671,,311675279,,41261252,,323918,,70867607,,0,,0,,0,,20128884,,200750984,
(주)SNT에너지,100840,14-Dec,170494610,,76613085,,17747389,,38991412,,96799312,,207712504,,304511816,,49187725,,0,,64307956,,0,,0,,0,,-24774316,,242746888,
(주)SNT에너지,100840,15-Dec,184059424,,64293369,,10693980,,31732088,,84796156,,231399939,,316196096,,64863275,,648633,,57773382,,0,,0,,0,,2204846,,260094045,
(주)SNT에너지,100840,16-Dec,211766053,,102181702,,6779276,,58818094,,118242778,,229799567,,348042346,,48869506,,488695,,75601196,,0,,0,,0,,35017765,,254089906,
(주)SNT에너지,100840,17-Dec,172919603,,49128545,,2324389,,57181172,,66449368,,233817326,,300266693,,51310402,,513104,,49075004,,0,,0,,0,,-5579426,,184091945,
(주)SNT에너지,100840,18-Dec,155524318,,31555307,,5692284,,59575400,,49715044,,231276490,,280991534,,29295256,,3967884,,26326736,,0,,0,,0,,14435813,,139516396,
(주)SNT에너지,100840,19-Dec,202225767,204986584,65138557,67469967,10124894,10208805,20449399,21039331,85846184,88942325,245545053,244954910,331391237,333897235,98456397,83894725,3881295,0,41521076,43546798,0,0,0,0,0,0,-40057737,-40064824,202822913,213326726
(주)SNT홀딩스,36530,11-Dec,64671576,1041841182,199700,597785981,0,274834022,36105093,233373653,284900,813820784,387839074,1311007481,388123974,2124828265,677865,404578388,0,18022086,199699,428903258,0,627000,0,83747208,0,0,9351556,86981830,2257851,1663846065
(주)SNT홀딩스,36530,12-Dec,40740917,998857779,165833,540250663,0,280540811,14832665,194157169,352990,756881039,388611726,1318022867,388964716,2074903906,659958,404874970,0,17071042,165833,382874518,0,1230693,0,61474637,0,457844,8670824,57310654,8718270,1668749904
(주)SNT홀딩스,36530,13-Dec,49212139,1070812404,306090,569273848,0,311174402,17730734,276440760,484426,774810996,396851717,1374365240,397336142,2149176237,624553,364300144,0,17308919,177803,397214965,0,741141,0,74400885,0,0,7969284,94174241,8826810,1576368464
(주)SNT홀딩스,36530,14-Dec,47079948,994978341,245998,477795324,0,283952471,9715942,243530561,381380,683347926,398863036,1356040938,399244416,2039388864,608494,318803347,0,5056003,134058,340082073,0,496019,0,27084000,0,0,6847661,95278602,7701882,1552374806
(주)SNT홀딩스,36530,15-Dec,100040105,1140793639,8658519,433769566,0,268780766,40091211,359044775,8658519,640062214,421925486,1529249091,430584006,2169311305,647243,317287946,0,7355964,197853,290341157,0,241477,0,6947267,0,0,7958287,120263344,8475099,1612746929
(주)SNT홀딩스,36530,16-Dec,97449826,1205349271,318763,487107956,0,236908975,31484863,431998241,318763,679285814,426682947,1530892611,427001710,2210178425,647920,331347025,0,8967081,210780,317820370,0,0,0,6890307,0,0,761622,143865685,9818190,1537700275
(주)SNT홀딩스,36530,17-Dec,98229088,1187727595,299279,448821933,0,215870141,13150370,413299290,299279,626881784,425136143,1519293154,425435423,2146174938,558857,317573551,0,7952052,217076,311196019,0,0,0,6520000,0,0,6184231,104208804,7417869,1508152132
(주)SNT홀딩스,36530,18-Dec,89557460,1168023374,231691,381612594,0,220256725,3600593,268803322,231691,610559077,422573122,1503275496,422804813,2113834573,595784,282698019,0,9687722,231691,274334310,0,0,0,6460000,0,0,6691516,128942884,7292112,1401307482
(주)SNT홀딩스,36530,19-Dec,31735933,1266526398,233270,405603647,0,229809615,1989989,375881409,233270,610745978,416939604,1625933047,417172874,2236679025,570175,323871429,0,6961245,233270,265682859,0,0,0,0,0,0,10098608,89185851,11015928,1512114565
(주)STX,11810,11-Dec,993206000,1430457000,1568777000,2041868000,240418000,315306000,88385000,233297000,2137600000,3318233000,1164648000,1915942000,3302248000,5234175000,433389000,549558000,3731000,5121000,324959000,455972000,115350000,453951000,657305000,867790000,0,0,-108220000,55801000,4173397000,5967701000
(주)STX,11810,12-Dec,856988000,1484305000,1821548000,2363189000,108537000,182590000,17643000,306062000,2103344000,3560390000,1123534000,1506639000,3226878000,5067029000,407542000,585650000,2900000,5408000,271287000,450434000,97993000,523076000,749942000,974176000,0,0,159192000,250636000,4116767000,6159850000
(주)STX,11810,13-Dec,640293000,793607000,1071743000,1278680000,47749000,94076000,43139000,65147000,1608657000,1852183000,-522090000,-509663000,1086567000,1342520000,264240000,318920000,35323000,64866000,183690000,295650000,391256000,391286000,474021000,542454000,0,0,85353000,130779000,1895063000,2449401000
(주)STX,11810,14-Dec,728283000,893610000,671976000,788697000,148535000,207648000,78042000,111282000,1015539000,1161340000,54894000,93662000,1070433000,1255002000,240745000,231173000,39065000,0,94800000,170574000,214533000,214556000,488720000,512227000,0,0,-78562000,-76097000,1291351000,1634606000
