회사명,거래소코드,회계년도,당좌자산회전률(IFRS),당좌자산회전률(IFRS연결),순운전자본회전률(IFRS),순운전자본회전률(IFRS연결),당좌자산회전률,순운전자본회전률
(주)골프존뉴딘홀딩스,121440,2014/12,1.8,2.18,1.02,1.0,2.18,1.0
(주)골프존뉴딘홀딩스,121440,2015/12,0.31,1.5,0.17,0.58,1.5,0.58
(주)골프존뉴딘홀딩스,121440,2016/12,0.51,3.44,0.42,1.09,3.44,1.09
(주)골프존뉴딘홀딩스,121440,2017/12,0.43,2.94,0.29,0.88,2.94,0.88
(주)골프존뉴딘홀딩스,121440,2018/12,0.3,3.55,0.16,0.82,3.55,0.82
(주)골프존뉴딘홀딩스,121440,2019/12,0.6,3.64,0.34,0.88,3.64,0.88
(주)광림,14200,2011/12,3.56,,1.09,,3.56,1.09
(주)광림,14200,2012/12,3.42,,1.16,,3.42,1.16
(주)광림,14200,2013/12,2.89,,1.22,,2.89,1.22
(주)광림,14200,2014/12,2.42,3.17,0.97,0.98,3.17,0.98
(주)광림,14200,2015/12,7.13,,2.28,,7.13,2.28
(주)광림,14200,2016/12,2.64,1.42,0.8,0.45,1.42,0.45
(주)광림,14200,2017/12,0.74,2.29,0.38,0.78,2.29,0.78
(주)광림,14200,2018/12,0.41,2.57,0.23,0.86,2.57,0.86
(주)광림,14200,2019/12,0.98,2.13,0.41,0.68,2.13,0.68
(주)광명전기,17040,2011/12,1.51,1.72,0.69,0.78,1.72,0.78
(주)광명전기,17040,2012/12,1.79,1.92,0.82,0.89,1.92,0.89
(주)광명전기,17040,2013/12,1.83,1.84,0.86,0.89,1.84,0.89
(주)광명전기,17040,2014/12,2.03,1.92,1.01,0.99,1.92,0.99
(주)광명전기,17040,2015/12,1.62,1.58,0.85,0.87,1.58,0.87
(주)광명전기,17040,2016/12,1.84,1.46,1.02,0.82,1.46,0.82
(주)광명전기,17040,2017/12,1.93,1.61,1.07,0.88,1.61,0.88
(주)광명전기,17040,2018/12,1.85,1.88,1.01,1.04,1.88,1.04
(주)광명전기,17040,2019/12,2.11,1.91,1.2,1.11,1.91,1.11
(주)광무,29480,2011/12,1.42,1.96,0.56,0.73,1.96,0.73
(주)광무,29480,2012/12,2.27,2.55,0.78,0.93,2.55,0.93
(주)광무,29480,2013/12,1.15,1.62,0.36,0.51,1.62,0.51
(주)광무,29480,2014/12,4.79,,1.69,,4.79,1.69
(주)광무,29480,2015/12,2.51,,0.98,,2.51,0.98
(주)광무,29480,2016/12,3.31,,1.43,,3.31,1.43
(주)광무,29480,2017/12,1.66,,0.8,,1.66,0.8
(주)광무,29480,2018/12,1.53,1.38,0.76,0.71,1.38,0.71
(주)광무,29480,2019/12,1.12,1.31,0.55,0.68,1.31,0.68
