회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)기가레인,49080,Dec-13,94055571,94791934
(주)기가레인,49080,Dec-14,95460665,95718992
(주)기가레인,49080,Dec-15,61254807,61576391
(주)기가레인,49080,Dec-16,70397030,75445071
(주)기가레인,49080,Dec-17,89874499,100131227
(주)기가레인,49080,Dec-18,114668638,124772205
(주)기가레인,49080,Dec-19,63361399,72769411
(주)기산텔레콤,35460,Dec-11,36332290,65679195
(주)기산텔레콤,35460,Dec-12,49240507,74315907
(주)기산텔레콤,35460,Dec-13,48367030,79463728
(주)기산텔레콤,35460,Dec-14,41612762,74512326
(주)기산텔레콤,35460,Dec-15,45712905,79710503
(주)기산텔레콤,35460,Dec-16,24679656,59172319
(주)기산텔레콤,35460,Dec-17,29568090,63467585
(주)기산텔레콤,35460,Dec-18,24864346,56445716
(주)기산텔레콤,35460,Dec-19,30545683,67054955
(주)까뮤이앤씨,13700,Dec-11,90048208,
(주)까뮤이앤씨,13700,Dec-12,90976586,
(주)까뮤이앤씨,13700,Dec-13,83568532,
(주)까뮤이앤씨,13700,Dec-14,123567918,
(주)까뮤이앤씨,13700,Dec-15,132370311,
(주)까뮤이앤씨,13700,Dec-16,139708060,
(주)까뮤이앤씨,13700,Dec-17,172176860,
(주)까뮤이앤씨,13700,Dec-18,116296828,
(주)까뮤이앤씨,13700,Dec-19,283420655,
(주)까스텔바작,308100,Dec-19,81068234,81358617
(주)나노,187790,Dec-14,,
(주)나노,187790,Dec-15,14881694,29901810
(주)나노,187790,Dec-16,18480121,48175171
(주)나노,187790,Dec-17,29944292,73089292
(주)나노,187790,Dec-18,34238747,81942719
(주)나노,187790,Dec-19,38421023,73694955
(주)나노브릭,286750,Dec-19,7775408,7775408
(주)나노신소재,121600,Dec-11,33480756,33480756
(주)나노신소재,121600,Dec-12,23644347,23644347
(주)나노신소재,121600,Dec-13,26827489,27009014
(주)나노신소재,121600,Dec-14,27926752,27926752
(주)나노신소재,121600,Dec-15,43140425,43140425
(주)나노신소재,121600,Dec-16,41111800,41111800
(주)나노신소재,121600,Dec-17,45568866,45568866
(주)나노신소재,121600,Dec-18,52249960,52249960
(주)나노신소재,121600,Dec-19,48892961,48892961
(주)나노엔텍,39860,Dec-11,13088091,13153879
(주)나노엔텍,39860,Dec-12,13561450,13435035
(주)나노엔텍,39860,Dec-13,19071599,19084457
(주)나노엔텍,39860,Dec-14,20255673,19498657
(주)나노엔텍,39860,Dec-15,18652444,24839316
(주)나노엔텍,39860,Dec-16,19928840,22205895
(주)나노엔텍,39860,Dec-17,22133358,23809593
(주)나노엔텍,39860,Dec-18,24871160,25796821
(주)나노엔텍,39860,Dec-19,25099090,26255836
(주)나무가,190510,Dec-15,330071994,403847036
(주)나무가,190510,Dec-16,189575941,292613003
(주)나무가,190510,Dec-17,169353908,257564977
(주)나무가,190510,Dec-18,199656907,312824892
(주)나무가,190510,Dec-19,275379664,362063863
(주)나스미디어,89600,Dec-13,24754414,
(주)나스미디어,89600,Dec-14,29855317,
(주)나스미디어,89600,Dec-15,45490455,
(주)나스미디어,89600,Dec-16,61749724,69943009
(주)나스미디어,89600,Dec-17,84283178,120275391
(주)나스미디어,89600,Dec-18,71877991,106607030
(주)나스미디어,89600,Dec-19,78372579,117006838
(주)나이벡,138610,Dec-11,2702416,
(주)나이벡,138610,Dec-12,3875799,
(주)나이벡,138610,Dec-13,2271977,
(주)나이벡,138610,Dec-14,4786118,
(주)나이벡,138610,Dec-15,4173528,
(주)나이벡,138610,Dec-16,4804232,
(주)나이벡,138610,Dec-17,6302575,
(주)나이벡,138610,Dec-18,5207877,
(주)나이벡,138610,Dec-19,9287488,
(주)나이스디앤비,130580,Dec-11,17447086,
(주)나이스디앤비,130580,Dec-12,19285428,
(주)나이스디앤비,130580,Dec-13,19592150,
(주)나이스디앤비,130580,Dec-14,21139275,
(주)나이스디앤비,130580,Dec-15,23685546,25675101
(주)나이스디앤비,130580,Dec-16,24018056,33964917
