,자기자본증가율,0,1
614,1.47,3.94,2.91
615,3.29,1.93,2.79
616,-5.69,-3.08,-4.33
617,-7.71,-7.35,-1.26
618,-5.78,-4.44,-5.59
619,-90.88,-90.21,-90.88
620,1254789.63,11111111.11,11111111.11
621,1254789.63,11111111.11,11111111.11
622,-36.73,-36.73,11111111.11
623,104.36,104.36,11111111.11
624,0.0,-70.88,0.0
625,1254789.63,11111111.11,11111111.11
626,111.26,119.12,111.74
627,-14.74,-10.9,-16.55
628,-5.04,-9.2,-9.89
629,39.94,-24.39,-9.34
630,2.53,11111111.11,11111111.11
631,-0.61,-0.09,-0.61
632,3.57,2.86,3.57
633,4.6,3.25,4.6
634,12.41,5.19,12.41
635,1.94,8.94,1.94
636,8.17,6.02,8.17
637,2.93,3.25,2.93
638,4.73,3.61,4.73
639,2.7,-38.61,12.53
640,3.26,5.92,2.53
641,9.75,8.3,8.2
642,5.22,5.31,9.29
643,21.73,2.45,18.53
644,2.03,28.71,2.33
645,9.18,2.86,8.25
646,-4.18,0.08,-2.77
647,0.02,-0.32,1.06
648,52.14,-73.44,-86.06
649,16.3,16.23,16.17
650,-66.11,-66.81,-66.11
651,-8.58,35.47,7.16
652,114.71,6.32,28.14
653,42.55,37.68,42.55
654,-9.72,-12.04,-9.72
655,43.66,44.96,57.6
656,-24.04,-31.47,-21.61
657,-5.33,-1.31,-10.94
658,-35.67,-45.04,-38.73
659,30.95,48.03,32.87
660,102.54,-5.43,-12.71
661,1254789.63,11111111.11,11111111.11
662,8.68,8.95,8.72
663,22.52,22.08,22.5
664,8.45,5.41,9.68
665,7.19,10.86,8.37
666,3.79,2.09,6.14
667,4.75,5.15,4.69
668,1.86,2.29,1.58
669,-1.03,-0.66,5.14
670,93.83,-97.0,-99.06
671,0.48,0.48,11111111.11
672,-6.99,-6.92,-8.05
673,-9.66,-11.44,-9.53
674,-36.76,-38.74,-38.86
675,223.18,212.06,202.86
676,188.33,66.71,-78.11
677,1.07,11111111.11,11111111.11
678,11.18,5.19,8.6
679,8.26,5.15,13.04
680,4.68,-1.07,7.4
681,3.9,-0.64,10.69
682,5.39,2.21,5.33
683,5.34,3.3,4.55
684,-1.04,-0.89,0.93
685,1.06,2.17,3.68
686,19.44,-98.49,-99.37
687,-15.89,-34.49,-10.74
688,-25.46,-18.28,-30.74
689,106.63,153.06,115.65
690,-0.19,3.8,44.23
691,-19.46,-22.5,-46.6
692,399.19,321.63,399.19
693,57.67,74.59,57.67
694,-10.58,-12.18,-10.58
695,3.15,2234.36,2114.43
696,-3.77,-2.52,-3.94
697,4.05,4.59,3.93
698,2.37,2.28,2.43
699,6.54,5.7,5.99
700,9.47,9.95,9.47
701,2.15,3.1,2.15
702,3.1,2.55,3.08
703,2.27,1.16,2.27
704,3.74,-73.44,-63.95
705,-0.72,0.94,-0.69
706,5.39,1.38,4.76
707,1.68,1.01,1.68
708,5.32,0.45,5.31
709,7.95,0.86,7.95
710,2.59,2.48,2.59
711,3.78,0.84,3.78
712,2.92,0.17,2.92
713,8.32,-94.79,-96.94
714,-2.23,-2.76,-2.23
715,-4.47,-5.87,-4.58
716,-36.59,-36.59,-57.74
717,3.55,3.55,11111111.11
718,12.33,12.33,11111111.11
719,7.54,7.54,11111111.11
720,5.58,5.88,6.47
721,7.12,6.89,22.8
722,-6.65,83.9,128.88
723,-28.32,-29.5,-17.25
724,21.07,30.48,-26.5
725,3.77,5.23,3.69
726,22.72,14.93,22.65
727,13.51,13.19,13.51
728,-10.55,-8.61,-10.55
729,23.97,20.91,23.96
730,12.08,12.08,12.06
731,-83.74,-83.59,-83.74
732,54.09,11111111.11,11111111.11
733,11.1,8.42,11.1
734,10.6,5.74,10.6
735,28.92,30.27,28.92
736,-1.05,5.41,-1.05
737,5.71,5.66,5.71
738,10.92,5.91,11.28
739,6.93,3.84,6.87
740,-13.94,-76.92,-82.2
741,3.57,3.57,11111111.11
742,2.55,2.55,11111111.11
743,2.03,2.03,11111111.11
744,5.78,5.78,11111111.11
745,3.96,3.96,11111111.11
746,-3.13,-3.13,11111111.11
747,13.48,13.48,11111111.11
748,47.65,47.65,11111111.11
749,1.32,-3.52,156.4
750,-27.47,-13.0,-27.47
751,-13.61,-12.39,-13.61
752,4.67,0.7,4.67
753,-7.82,-0.09,-7.82
754,10.82,-6.63,10.82
755,-22.75,-23.4,-22.75
756,-2.94,-2.72,-2.94
757,88.73,89.29,88.73
758,81.25,82.38,81.25
759,17.3,19.92,19.39
760,84.95,70.22,70.58
761,20.34,19.94,20.34
762,7.79,8.08,8.19
763,4.28,4.71,4.12
764,-2.03,-71.87,-73.55
765,6.0,2.72,6.03
766,-8.95,-8.67,-9.0
767,5.85,5.4,6.32
768,10.62,9.68,11.19
769,-2.55,-1.48,-2.25
770,15.95,12.45,16.67
771,31.2,29.34,30.83
772,-18.69,-12.06,-18.35
773,104.18,-15.36,-11.2
774,5.5,6.6,5.5
775,13.22,14.27,13.22
776,2.27,3.07,2.25
777,6.88,4.98,6.89
778,13.16,11.38,13.16
779,17.91,16.45,17.95
780,17.05,18.54,17.02
781,21.92,20.41,21.91
782,-35.6,-20.49,-35.6
783,-4.65,2.34,-4.65
784,30.18,22.19,25.22
785,7.81,-10.43,6.2
786,18.77,19.39,20.58
787,30.63,31.03,32.55
788,22.61,20.06,27.41
789,-9.24,-5.89,-12.04
790,16.87,20.65,24.55
791,-94.44,-94.58,-94.44
792,2.35,11111111.11,11111111.11
793,-5.99,-7.89,-6.66
794,2.18,2.8,3.45
795,-2.42,0.49,-3.47
796,-4.38,0.37,2.46
797,-12.21,-6.47,7.82
798,16.5,19.73,10.7
799,-0.65,-3.39,2.49
800,23.79,16.57,38.64
801,10.22,143.19,364.06
802,10.1,7.32,6.16
803,2.34,1.04,2.79
804,5.36,0.12,6.29
805,11.92,2.81,15.8
806,9.44,3.58,11.05
807,13.54,2.52,18.87
808,13.51,2.9,27.71
809,11.37,4.47,9.16
810,5.12,-80.96,-60.19
811,12.65,0.41,8.15
812,6.5,7.2,5.86
813,7.04,3.6,7.59
814,34.14,16.56,17.97
