회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)골프존뉴딘홀딩스,121440,19-Dec,-0.36,,1.0,0.0,0.0
(주)광림,14200,11-Dec,4.55,1.71,0.0,0.0,0.0
(주)광림,14200,12-Dec,1.71,6.18,0.0,0.0,0.0
(주)광림,14200,13-Dec,6.18,0.7,0.0,0.0,0.0
(주)광림,14200,14-Dec,0.7,0.43,1.0,0.0,0.0
(주)광림,14200,15-Dec,0.43,0.16,1.0,0.0,0.0
(주)광림,14200,16-Dec,0.16,-3.19,1.0,0.0,0.0
(주)광림,14200,17-Dec,-3.19,-0.23,1.0,0.0,0.0
(주)광림,14200,18-Dec,-0.23,-2.3,1.0,0.0,0.0
(주)광림,14200,19-Dec,-2.3,,1.0,0.0,0.0
(주)광명전기,17040,11-Dec,0.38,3.63,1.0,0.0,0.0
(주)광명전기,17040,12-Dec,3.63,11.84,0.0,1.0,0.0
(주)광명전기,17040,13-Dec,11.84,19.42,0.0,0.0,1.0
(주)광명전기,17040,14-Dec,19.42,20.92,0.0,0.0,0.0
(주)광명전기,17040,15-Dec,20.92,10.52,0.0,0.0,0.0
(주)광명전기,17040,16-Dec,10.52,5.78,0.0,0.0,0.0
(주)광명전기,17040,17-Dec,5.78,3.61,0.0,0.0,0.0
(주)광명전기,17040,18-Dec,3.61,21.67,0.0,0.0,0.0
(주)광명전기,17040,19-Dec,21.67,,0.0,0.0,0.0
(주)광무,29480,11-Dec,-3.01,-2.69,1.0,0.0,0.0
(주)광무,29480,12-Dec,-2.69,-8.2,1.0,0.0,0.0
(주)광무,29480,13-Dec,-8.2,1.12,1.0,0.0,0.0
(주)광무,29480,14-Dec,1.12,-0.8,0.0,0.0,0.0
(주)광무,29480,15-Dec,-0.8,1.93,1.0,0.0,0.0
(주)광무,29480,16-Dec,1.93,0.32,0.0,0.0,0.0
(주)광무,29480,17-Dec,0.32,-3.19,1.0,0.0,0.0
(주)광무,29480,18-Dec,-3.19,-2.9,1.0,0.0,0.0
(주)광무,29480,19-Dec,-2.9,,1.0,0.0,0.0
