총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
0.020651115,1.117909751,,4.817322722,13.49820703,5.070803348,129.6600422,1.732588004,inf,6.807699545,0.020651115,1.117909751,1.875042852,2.437259441,inf,1.510223885
0.023139506,1.004986321,,5.286315543,15.16131946,4.741342492,215.8721678,1.674037221,inf,6.806901013,0.023139506,1.004986321,2.187341336,2.331000225,inf,1.310832574
0.017416536,0.988891988,,5.757210776,12.29368641,4.648187121,267.0747988,1.68542147,275.6701042,6.27981129,0.017416536,0.988891988,24.00441718,2.309278127,inf,1.260429327
0.017204276,0.927229548,,5.599840066,12.63095975,4.668911713,640.1362419,1.601378238,270.9965996,5.96357714,0.017204276,0.927229548,27.46713374,2.2648476,inf,1.189690677
0.026243624,0.966451768,,5.706587158,18.89590972,4.985792047,352.2222826,1.737676135,inf,7.126938778,0.026243624,0.966451768,47.38430965,2.476227473,inf,1.242212899
3.975945579,3.372696238,18.15338266,14.81027694,11.88167569,14.24812996,89.12658701,5.258845446,17.27027709,13.95426289,3.975945579,3.372696238,2.073331215,1.532474329,inf,3.209800386
3.598286325,3.599534971,22.91203737,25.52182785,9.790974527,10.85237243,57.82016728,6.612945908,17.33167599,17.75728146,3.598286325,3.599534971,1.941438982,1.791012533,inf,4.226657271
6.30171055,4.913660911,23.21603982,22.7051029,5.641898711,5.415614049,28.76755977,3.88776222,11.5391496,9.156177165,6.30171055,4.913660911,1.0210466,0.905078232,inf,2.150566835
-5.528090994,-7.858663801,12.56730044,10.03143933,5.114413299,5.943016908,21.65388356,10.10294508,13.19206035,9.988273934,-5.528090994,-7.858663801,0.984187919,1.084847204,inf,1.937635764
21.41540759,19.64804463,9.261862604,6.054206428,6.294094407,7.620348629,24.57958749,15.54797407,15.89960371,11.01311111,21.41540759,19.64804463,1.361605505,1.384272789,inf,1.816339771
-11.42439207,-13.32140451,10.55146018,6.029735843,7.019928486,9.879378918,34.68290894,19.61238207,11.52696198,13.13740735,-11.42439207,-13.32140451,1.509490183,1.540536462,inf,2.477774753
-11.22903302,-12.52536488,12.68481498,8.429517034,8.538240276,11.97050968,52.80557348,24.97148988,11.58501458,17.15373314,-11.22903302,-12.52536488,2.227951506,2.222500396,inf,3.749747696
24.87565818,28.20176755,13.71418922,9.536151648,9.754074313,9.439378238,45.783286,20.72954093,15.47904627,15.55667686,24.87565818,28.20176755,3.091947716,2.796212146,inf,3.34499531
21.94251478,24.45439207,13.70882182,11.48046496,9.039715199,8.337757728,34.52498292,17.8824702,17.26333405,16.44245503,21.94251478,24.45439207,3.107652797,2.960538271,inf,3.635816336
2.235512389,2.282937239,6.03901555,6.393871703,7.145679746,6.819559366,6.18000888,6.236856066,14.78812423,14.17903804,2.235512389,2.282937239,2.501461315,2.45925741,inf,2.878242254
2.12131491,2.221055481,5.23905746,5.080135119,6.639529659,6.606188717,6.000724171,4.392097398,14.17074515,12.9433562,2.12131491,2.221055481,2.044334301,1.823367808,inf,2.494700421
1.998293825,2.320083244,5.560962116,4.352917971,6.885466732,7.184053483,5.87468464,3.334403422,14.53620829,12.52644698,1.998293825,2.320083244,1.812002012,1.520011016,inf,2.284427879
1.910246486,2.629314349,5.991337259,4.004402952,6.839924545,6.684351941,5.733241657,3.368145153,15.41229883,13.53243985,1.910246486,2.629314349,1.6538425,1.482985373,inf,2.290061572
2.442526505,3.605126383,5.948398632,5.215367171,6.766946558,6.410180732,5.86494073,4.437025415,15.44149371,13.02272478,2.442526505,3.605126383,1.385611793,1.52004272,inf,2.094580802
3.750284616,4.694516787,6.217198592,7.992724418,6.972294424,7.090031513,6.72349962,6.509593322,15.03405612,13.93149999,3.750284616,4.694516787,1.538669582,1.891456274,inf,2.462608345
3.662676122,3.832200797,6.549983548,6.824132231,7.307775103,7.379927744,7.477401677,6.330928235,15.94468025,17.11541805,3.662676122,3.832200797,2.102282098,2.190378563,inf,3.247595841
3.737676331,3.876640807,5.813761591,6.196495199,8.328761374,9.115310511,7.917036256,7.196782871,14.82123727,15.5332856,3.737676331,3.876640807,2.135228629,2.231502959,inf,3.033489674
3.465191634,3.816623615,4.817018883,5.720336921,9.120762198,9.993726848,7.512918431,7.589769411,13.68860386,13.94835473,3.465191634,3.816623615,1.981239185,2.242479089,inf,2.903289698
1.474583983,1.230364526,2873.609965,1273.216226,16.13145389,12.20859024,5.359162417,2.514944417,76.26611915,111.2722755,1.474583983,1.230364526,2.61500996,3.304983132,inf,2.026424196
