,회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),0,1
225,(주)골드퍼시픽,38530,Dec-19,908909,15975328.46,989.71,16777.78
226,(주)골프존,215000,Dec-15,74039599,77871991,387.45,
227,(주)골프존,215000,Dec-16,69486714,73081406,-6.15,-6.15
228,(주)골프존,215000,Dec-17,66800539,71606171,-3.87,-2.02
229,(주)골프존,215000,Dec-18,81753994,83642928,22.39,16.81
230,(주)골프존,215000,Dec-19,110267389,115927449,34.88,38.6
231,(주)골프존뉴딘홀딩스,121440,Dec-11,49239742,52306467,-54.88,
232,(주)골프존뉴딘홀딩스,121440,Dec-12,136357274,198231941,176.93,278.98
233,(주)골프존뉴딘홀딩스,121440,Dec-13,136081977,222285916,-0.2,12.13
234,(주)골프존뉴딘홀딩스,121440,Dec-14,178117980,454297223,30.89,104.38
235,(주)골프존뉴딘홀딩스,121440,Dec-15,98347480,401308099,-44.79,-11.66
236,(주)골프존뉴딘홀딩스,121440,Dec-16,98552925,398579767,0.21,-0.68
237,(주)골프존뉴딘홀딩스,121440,Dec-17,92900686,394254656,-5.74,-1.09
238,(주)골프존뉴딘홀딩스,121440,Dec-18,83633825,380012689,-9.98,-3.61
239,(주)골프존뉴딘홀딩스,121440,Dec-19,70002997,360513819,-16.3,-5.13
240,(주)광림,14200,Dec-11,23759906,15975328.46,-95.57,
241,(주)광림,14200,Dec-12,23876350,15975328.46,0.49,
242,(주)광림,14200,Dec-13,23947251,15975328.46,0.3,
243,(주)광림,14200,Dec-14,23724344,56739580,-0.93,
244,(주)광림,14200,Dec-15,24452723,15975328.46,3.07,-71.84
245,(주)광림,14200,Dec-16,25674614,70932936,5,
246,(주)광림,14200,Dec-17,26240529,58197036,2.2,-17.95
247,(주)광림,14200,Dec-18,24128152,59154003,-8.05,1.64
248,(주)광림,14200,Dec-19,23627901,60314708,-2.07,1.96
249,(주)광명전기,17040,Dec-11,11465013,20386015,-66.2,
250,(주)광명전기,17040,Dec-12,11648472,18456738,1.6,-9.46
251,(주)광명전기,17040,Dec-13,11245458,17081607,-3.46,-7.45
252,(주)광명전기,17040,Dec-14,12676386,17811443,12.72,4.27
253,(주)광명전기,17040,Dec-15,12392219,17802534,-2.24,-0.05
254,(주)광명전기,17040,Dec-16,12127197,19037693,-2.14,6.94
255,(주)광명전기,17040,Dec-17,15402240,34515922,27.01,81.3
256,(주)광명전기,17040,Dec-18,21240625,39291851,37.91,13.84
257,(주)광명전기,17040,Dec-19,20755434,26207863,-2.28,-33.3
258,(주)광무,29480,Dec-11,17456144,18150942,-30.74,
259,(주)광무,29480,Dec-12,12347204,12485607,-29.27,-31.21
260,(주)광무,29480,Dec-13,10935118,11030800,-11.44,-11.65
261,(주)광무,29480,Dec-14,8657715,15975328.46,-20.83,44.82
262,(주)광무,29480,Dec-15,8108941,15975328.46,-6.34,
263,(주)광무,29480,Dec-16,8053509,15975328.46,-0.68,
264,(주)광무,29480,Dec-17,7752645,15975328.46,-3.74,
265,(주)광무,29480,Dec-18,7903725,8423811,1.95,
266,(주)광무,29480,Dec-19,2004796,3934491,-74.63,-53.29
267,(주)광주신세계,37710,Dec-11,95759237,15975328.46,306.03,
268,(주)광주신세계,37710,Dec-12,118344439,15975328.46,23.59,
269,(주)광주신세계,37710,Dec-13,113548429,15975328.46,-4.05,
270,(주)광주신세계,37710,Dec-14,112432843,15975328.46,-0.98,
271,(주)광주신세계,37710,Dec-15,111688001,15975328.46,-0.66,
272,(주)광주신세계,37710,Dec-16,109768330,15975328.46,-1.72,
273,(주)광주신세계,37710,Dec-17,108947528,15975328.46,-0.75,
274,(주)광주신세계,37710,Dec-18,107893227,15975328.46,-0.97,
275,(주)광주신세계,37710,Dec-19,255366762,15975328.46,136.68,
276,(주)구영테크,53270,Dec-11,26073978,79063199,394.91,
277,(주)구영테크,53270,Dec-12,31959958,83304389,22.57,5.36
278,(주)구영테크,53270,Dec-13,32040532,82458455,0.25,-1.02
279,(주)구영테크,53270,Dec-14,31369668,85581135,-2.09,3.79
280,(주)구영테크,53270,Dec-15,33224421,90370617,5.91,5.6
281,(주)구영테크,53270,Dec-16,37856179,97159369,13.94,7.51
282,(주)구영테크,53270,Dec-17,56419110,108247080,49.04,11.41
283,(주)구영테크,53270,Dec-18,71615647,131119419,26.94,21.13
284,(주)구영테크,53270,Dec-19,71525354,123266501,-0.13,-5.99
285,(주)국동,5320,Dec-11,71685,26139127,-78.79,
286,(주)국동,5320,Dec-12,62414,23884364,-12.93,-8.63
287,(주)국동,5320,Dec-13,102132,22012275,63.64,-7.84
288,(주)국동,5320,Dec-14,125789,25733379,23.16,16.9
289,(주)국동,5320,Dec-15,124678,27576036,-0.88,7.16
290,(주)국동,5320,Dec-16,122290,38648210,-1.92,40.15
291,(주)국동,5320,Dec-17,126345,34391285,3.32,-11.01
292,(주)국동,5320,Dec-18,134369,34742472,6.35,1.02
293,(주)국동,5320,Dec-19,130910,33086550,-2.57,-4.77
294,(주)국보,1140,Dec-11,37844785,37874882,14.47,
295,(주)국보,1140,Dec-12,38507895,38720706,1.75,2.23
296,(주)국보,1140,Dec-13,42150058,42306021,9.46,9.26
297,(주)국보,1140,Dec-14,41186594,41286099,-2.29,-2.41
298,(주)국보,1140,Dec-15,40409826,40424444,-1.89,-2.09
