,순이익증가율,순이익증가률개별,순이익증가률연결,순이익증가율1
4578,1254789.63,11111111.11,11111111.11,1254789.63
4579,1254789.63,11111111.11,11111111.11,1254789.63
4580,1254789.63,11111111.11,11111111.11,1254789.63
4581,-135.94,-664.58,-135.94,-135.94
4582,1254789.63,11111111.11,11111111.11,1254789.63
4583,1254789.63,11111111.11,11111111.11,1254789.63
4584,-46.1,-41.63,-46.1,-46.1
4585,-35.27,-144.4,-35.27,-35.27
4586,-253.57,11111111.11,-253.57,-253.57
4587,1254789.63,11111111.11,11111111.11,1254789.63
4588,-1962.57,-1962.57,11111111.11,-1962.57
4589,2592.93,11111111.11,2592.93,2592.93
4590,-76.02,-57.96,-76.02,-76.02
4591,-75.11,-36.71,-75.11,-75.11
4592,-346.09,-40.91,-346.09,-346.09
4593,-241.9,-241.9,11111111.11,-241.9
4594,1254789.63,11111111.11,11111111.11,1254789.63
4595,-1002.39,-1002.39,11111111.11,-1002.39
4596,1254789.63,11111111.11,11111111.11,1254789.63
4597,-174.47,-187.47,-174.47,-174.47
4598,1254789.63,11111111.11,11111111.11,1254789.63
4599,-101.22,-132.14,-101.22,-101.22
4600,1254789.63,11111111.11,11111111.11,1254789.63
4601,-22.36,-29.19,-22.36,-22.36
4602,29.63,53.26,29.63,29.63
4603,-19.17,-26.01,-19.17,-19.17
4604,60.9,63.23,60.9,60.9
4605,-54.81,-46.45,-54.81,-54.81
4606,-243.16,-233.0,-243.16,-243.16
4607,1254789.63,11111111.11,11111111.11,1254789.63
