,Unnamed: 0,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결,순이익증가율
210,210,(주)골드앤에스,35290,Dec-13,-16378087.0,-16837473.0,,,
211,211,(주)골드앤에스,35290,Dec-14,-8058617.0,-9319175.0,,,
212,212,(주)골드앤에스,35290,Dec-15,-9396462.0,-9502547.0,,,
213,213,(주)골드앤에스,35290,Dec-16,388207.0,390367.0,,,
214,214,(주)골드앤에스,35290,Dec-17,-8062623.0,-7975875.0,-2176.89,-2143.17,-2143.17
215,215,(주)골드앤에스,35290,Dec-18,-4045846.0,-4380399.0,,,
216,216,(주)골드앤에스,35290,Dec-19,-24883215.0,-24883278.0,,,
217,217,(주)골드퍼시픽,38530,Dec-11,990336.0,,,,
218,218,(주)골드퍼시픽,38530,Dec-12,254546.0,,-74.3,0.0,-74.3
219,219,(주)골드퍼시픽,38530,Dec-13,-8455942.0,-9381353.0,-3421.97,-184.43,-184.43
220,220,(주)골드퍼시픽,38530,Dec-14,-7306525.0,-7390326.0,,,
221,221,(주)골드퍼시픽,38530,Dec-15,-12525668.0,-10215946.0,,,
222,222,(주)골드퍼시픽,38530,Dec-16,-23433498.0,,,,
223,223,(주)골드퍼시픽,38530,Dec-17,-965087.0,,,0.0,
224,224,(주)골드퍼시픽,38530,Dec-18,-4380343.0,-4471963.0,,-140.25,-140.25
225,225,(주)골드퍼시픽,38530,Dec-19,-31603970.0,,,,
226,226,(주)골프존,215000,Dec-15,33262807.0,36533155.0,,228.8,228.8
227,227,(주)골프존,215000,Dec-16,35913366.0,36536248.0,7.97,0.01,0.01
228,228,(주)골프존,215000,Dec-17,75544308.0,79392004.0,110.35,117.3,117.3
229,229,(주)골프존,215000,Dec-18,21663391.0,20419449.0,-71.32,-74.28,-74.28
230,230,(주)골프존,215000,Dec-19,19704546.0,16213888.0,-9.04,-20.6,-20.6
231,231,(주)골프존뉴딘홀딩스,121440,Dec-11,47591974.0,46487063.0,141.53,186.71,186.71
232,232,(주)골프존뉴딘홀딩스,121440,Dec-12,72099265.0,73354594.0,51.49,57.8,57.8
233,233,(주)골프존뉴딘홀딩스,121440,Dec-13,4493226.0,2803470.0,-93.77,-96.18,-96.18
234,234,(주)골프존뉴딘홀딩스,121440,Dec-14,63571492.0,79234486.0,1314.83,2726.3,2726.3
235,235,(주)골프존뉴딘홀딩스,121440,Dec-15,890006593.0,871101274.0,1300.01,999.4,999.4
236,236,(주)골프존뉴딘홀딩스,121440,Dec-16,-20255655.0,2876449.0,-102.28,-99.67,-99.67
237,237,(주)골프존뉴딘홀딩스,121440,Dec-17,-21778628.0,-21585123.0,,-850.41,-850.41
238,238,(주)골프존뉴딘홀딩스,121440,Dec-18,-7653686.0,-7527390.0,,,
239,239,(주)골프존뉴딘홀딩스,121440,Dec-19,-30341791.0,-34848135.0,,,
240,240,(주)광림,14200,Dec-11,2583332.0,,,,
241,241,(주)광림,14200,Dec-12,586385.0,,-77.3,0.0,-77.3
242,242,(주)광림,14200,Dec-13,1630750.0,,178.1,0.0,178.1
243,243,(주)광림,14200,Dec-14,1137559.0,-237860.0,-30.24,-102.14,-102.14
244,244,(주)광림,14200,Dec-15,9223597.0,,710.82,,
245,245,(주)광림,14200,Dec-16,437352.0,-1896521.0,-95.26,-117.07,-117.07
246,246,(주)광림,14200,Dec-17,86196134.0,-23602051.0,19608.64,,
247,247,(주)광림,14200,Dec-18,-58294056.0,-28445678.0,-167.63,,
248,248,(주)광림,14200,Dec-19,-68290742.0,-14006972.0,,,
249,249,(주)광명전기,17040,Dec-11,-75153.0,-1825104.0,,,
250,250,(주)광명전기,17040,Dec-12,-1564026.0,407617.0,,,
251,251,(주)광명전기,17040,Dec-13,5301060.0,6473480.0,,1488.13,1488.13
252,252,(주)광명전기,17040,Dec-14,6978508.0,9107331.0,31.64,40.69,40.69
253,253,(주)광명전기,17040,Dec-15,3442541.0,8891002.0,-50.67,-2.38,-2.38
254,254,(주)광명전기,17040,Dec-16,15612709.0,11593891.0,353.52,30.4,30.4
255,255,(주)광명전기,17040,Dec-17,-1349854.0,-2043260.0,-108.65,-117.62,-117.62
256,256,(주)광명전기,17040,Dec-18,3182514.0,2718092.0,,,
257,257,(주)광명전기,17040,Dec-19,6470387.0,7118200.0,103.31,161.88,161.88
258,258,(주)광무,29480,Dec-11,-51537196.0,-50127229.0,-896.51,-804.21,-804.21
259,259,(주)광무,29480,Dec-12,-15113066.0,-10689029.0,,,
260,260,(주)광무,29480,Dec-13,-33154332.0,-28721377.0,,,
261,261,(주)광무,29480,Dec-14,-859721.0,,,,
262,262,(주)광무,29480,Dec-15,-2727754.0,,,0.0,
263,263,(주)광무,29480,Dec-16,95615.0,,,0.0,
264,264,(주)광무,29480,Dec-17,-3352682.0,,-3606.44,0.0,-3606.44
265,265,(주)광무,29480,Dec-18,-4875184.0,-5120760.0,,-146.09,-146.09
266,266,(주)광무,29480,Dec-19,-6275093.0,-6421201.0,,,
267,267,(주)광주신세계,37710,Dec-11,52281979.0,,,,
268,268,(주)광주신세계,37710,Dec-12,53769536.0,,2.85,0.0,2.85
269,269,(주)광주신세계,37710,Dec-13,48569715.0,,-9.67,0.0,-9.67
270,270,(주)광주신세계,37710,Dec-14,42236355.0,,-13.04,0.0,-13.04
271,271,(주)광주신세계,37710,Dec-15,45901413.0,,8.68,0.0,8.68
272,272,(주)광주신세계,37710,Dec-16,45554028.0,,-0.76,0.0,-0.76
273,273,(주)광주신세계,37710,Dec-17,47846191.0,,5.03,0.0,5.03
274,274,(주)광주신세계,37710,Dec-18,45093180.0,,-5.75,0.0,-5.75
275,275,(주)광주신세계,37710,Dec-19,47668959.0,,5.71,0.0,5.71
276,276,(주)구영테크,53270,Dec-11,985788.0,-647883.0,-97.93,-105.83,-105.83
277,277,(주)구영테크,53270,Dec-12,1250176.0,1633009.0,26.82,,
278,278,(주)구영테크,53270,Dec-13,1137402.0,2179847.0,-9.02,33.49,33.49
279,279,(주)구영테크,53270,Dec-14,1326679.0,2236588.0,16.64,2.6,2.6
280,280,(주)구영테크,53270,Dec-15,3196300.0,4158785.0,140.92,85.94,85.94
281,281,(주)구영테크,53270,Dec-16,3920237.0,2542450.0,22.65,-38.87,-38.87
282,282,(주)구영테크,53270,Dec-17,1239184.0,1357296.0,-68.39,-46.61,-46.61
283,283,(주)구영테크,53270,Dec-18,3912117.0,5920905.0,215.7,336.23,336.23
284,284,(주)구영테크,53270,Dec-19,1558141.0,3387486.0,-60.17,-42.79,-42.79
285,285,(주)국동,5320,Dec-11,-12930687.0,-7212195.0,-929.88,-312.91,-312.91
286,286,(주)국동,5320,Dec-12,262553.0,5142066.0,,,
287,287,(주)국동,5320,Dec-13,2373991.0,4009323.0,804.19,-22.03,-22.03
288,288,(주)국동,5320,Dec-14,4692501.0,8898694.0,97.66,121.95,121.95
289,289,(주)국동,5320,Dec-15,5321778.0,5235608.0,13.41,-41.16,-41.16
290,290,(주)국동,5320,Dec-16,4379974.0,6208749.0,-17.7,18.59,18.59
291,291,(주)국동,5320,Dec-17,-6593433.0,-8967738.0,-250.54,-244.44,-244.44
292,292,(주)국동,5320,Dec-18,1351547.0,2111761.0,,,
293,293,(주)국동,5320,Dec-19,-6989987.0,-4523376.0,-617.18,-314.2,-314.2
294,294,(주)국보,1140,Dec-11,-176708.0,-37903.0,,,
295,295,(주)국보,1140,Dec-12,-1916073.0,-874559.0,,,
296,296,(주)국보,1140,Dec-13,-3766842.0,-3846673.0,,,
297,297,(주)국보,1140,Dec-14,-6633427.0,-6999514.0,,,
298,298,(주)국보,1140,Dec-15,-3679630.0,-4043773.0,,,
299,299,(주)국보,1140,Dec-16,-5034348.0,-4187272.0,,,
300,300,(주)국보,1140,Dec-17,-2761653.0,-2889794.0,,,
301,301,(주)국보,1140,Dec-18,-4038217.0,-3999572.0,,,
302,302,(주)국보,1140,Dec-19,-9851123.0,-6676274.0,,,
303,303,(주)국보디자인,66620,Dec-11,6607794.0,6055732.0,,,
304,304,(주)국보디자인,66620,Dec-12,8631842.0,8281324.0,30.63,36.75,36.75
