회사명,거래소코드,회계년도,총자산증가율(개별),총자산증가율(연결),유형자산증가율(연결),유형자산증가율(개별),유동자산증가율(연결),유동자산증가율(개별),재고자산증가율(개별),재고자산증가율(연결),자기자본증가율(연결),자기자본증가율(개별),순이익증가률(개별),순이익증가률(연결),매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)파인테크닉스,106240,14-Dec,9.454481346,0.272043789,-5.235592256,4.573667299,0.459425762,-8.939723899,10.00844227,14.89148464,33.16188977,81.6208558,,,25.81,16.94,10.61,3.7,26.73,20.8,10.85,5.51,9.56,4.95,12.03,4.12
(주)파인테크닉스,106240,15-Dec,13.22851627,-0.584337156,-7.259266556,-6.721734634,4.00656976,34.13784648,15.72029612,14.48517007,4.575308435,8.11316958,-70.71,-65.39,19.86,15.15,3.29,1.25,5.83,6.49,2.96,3.1,3.08,2.71,3.16,1.43
(주)파인테크닉스,106240,16-Dec,16.31089975,-22.98430661,-39.46911753,29.25209178,-21.37736439,44.59068999,98.30426913,37.55680643,3.890576724,4.830934236,-88.18,-79.37,13.38,13.79,0.3,0.45,0.65,1.21,0.31,0.22,0.28,0.29,0.33,0.33
(주)파인테크닉스,106240,17-Dec,-17.4300634,-19.87495615,-24.50237837,-10.24418583,-21.69088918,-27.34434564,-66.30817261,-62.37801891,-35.094889,-38.65082465,-6761.98,-4499.78,0.42,2.95,-24.91,-24.23,-52.27,-49.64,-15.66,-11.89,-17.66,-15.38,-22.09,-18.74
(주)파인테크닉스,106240,18-Dec,-24.90754398,-22.28249451,-34.04496078,-37.13210333,-40.69697295,-24.8166538,-16.66844291,6.593473526,-16.81050149,-28.08411802,,,18.38,19.7,-18.64,-16.32,-43.37,-40.49,-15.32,-10.5,-18.87,-14.48,-15.13,-11.83
(주)파인테크닉스,106240,19-Dec,-6.015332028,-9.316370456,-6.601707961,-35.78952897,-11.00474997,-18.73959896,-37.70151008,-2.339425907,17.53660395,45.85548995,,,15.8,12.47,11,-1.6,21.98,0.59,8.03,4.64,9.32,5.15,9.48,-1.44
(주)파인텍,131760,15-Dec,-19.56707664,-24.16472562,6.602798579,-7.253514448,14.95134222,0.083666857,-94.25235635,-61.48397895,-41.78546577,-8.70984232,-92.48,,16.36,13.6,0.67,1.47,1.99,8.9,11.03,10.56,8.45,5.57,0.88,2.79
(주)파인텍,131760,16-Dec,35.95768117,104.1537376,45.33946795,-7.39114457,115.8238055,6.577572597,106.5256162,159.0178216,-2.886635151,-4.516108287,-1343.86,-344.33,3.31,5.88,-24.1,-4.81,-19.43,-16.61,-7.7,-5.02,-19.24,-5.34,-9.65,-4.52
(주)파인텍,131760,17-Dec,20.78166766,-31.52125508,-33.45327806,93.50362307,-40.3365246,70.10425074,41.49646986,-56.51531048,-11.63461394,14.55643641,,,16.69,15.8,-24.99,-18.22,-40.22,-50.43,3.63,4.29,5.51,6.5,-16.45,-12.04
(주)파인텍,131760,18-Dec,-27.61739157,-31.31025593,-10.83877696,-13.03195154,-53.73892811,-56.38272822,-24.51097953,-70.84686373,-33.06999813,-34.1881246,,,11.52,16.25,-37.54,-23.41,-42.84,-44.57,-2.3,0.28,-5.25,0.54,-16.45,-12.15
(주)파인텍,131760,19-Dec,13.53651264,16.39616139,0.988392676,-7.086907357,48.79865574,53.20002192,-8.913027068,3.222271294,125.7435284,82.83273067,,,16.46,20.5,-6.11,0.12,-7.32,0.2,0.35,3.18,0.6,4.56,-3.52,0.08
(주)파커스,65690,11-Dec,-20.64548632,-19.75698664,29.58285184,112.4258667,-2.627493332,-6.693925822,847.1053883,479.5354914,23.58046861,9.382806956,,3764.04,13.37,13.91,3.69,4.25,3.56,4.56,2.91,3.86,3.74,4.48,2.88,3.65
(주)파커스,65690,12-Dec,2.557365189,0.59286485,-3.413616521,-11.79097005,3.106544438,11.34873793,-2.785796813,10.58136424,0.82272214,3.656169897,-11.14,-78.77,15.3,13.05,3.03,0.83,3.1,0.95,4.77,3.26,5.77,3.54,2.51,0.77
