회사명,거래소코드,회계년도,매출액수익,매출액수익연결,매출원가,매출원가연결,당기순이익손실,당기순이익손실연결,자본,자본연결,자산,자산연결,영업이익개별,영업이익연결,자본개별,자본연결_,자산개별,자산연결_,매출액영업이익률1,매출액영업이익률2,매출액영업이익률
(주)SNT홀딩스,36530,2017-12,7417869.0,1508152132.0,0.0,1303372403.0,4172419.0,25863066.0,425136143.0,1519293154.0,425435423.0,2146174938.0,5401909,60637140,426682947.0,1530892611.0,427001710.0,2210178425.0,72.82292259407654,4.020624890115529,4.020624890115529
(주)SNT홀딩스,36530,2018-12,7292112.0,1401307482.0,0.0,1221120349.0,6218079.0,73732317.0,422573122.0,1503275496.0,422804813.0,2113834573.0,5392032,72650118,425136143.0,1519293154.0,425435423.0,2146174938.0,73.9433513912019,5.184452301382916,5.184452301382916
(주)SNT홀딩스,36530,2019-12,11015928.0,1512114565.0,0.0,1284171398.0,9244252.0,124509305.0,416939604.0,1625933047.0,417172874.0,2236679025.0,8991504,126277062,422573122.0,1503275496.0,422804813.0,2113834573.0,81.62275570428565,8.35102477833748,8.35102477833748
(주)STX,11810,2011-12,4173397000.0,5967701000.0,3988988000.0,5516021000.0,84657000.0,222363000.0,1164648000.0,1915942000.0,3302248000.0,5234175000.0,61711000,234608000,934675000.0,1622889000.0,2822864000.0,6092977000.0,1.4786755249979813,3.9312961557557924,3.9312961557557924
(주)STX,11810,2012-12,4116767000.0,6159850000.0,3997635000.0,6353608000.0,-23863000.0,-490928000.0,1123534000.0,1506639000.0,3226878000.0,5067029000.0,17733000,-410811000,1164648000.0,1915942000.0,3302248000.0,5234175000.0,0.4307506351464633,-6.6691721389319545,-6.6691721389319545
(주)STX,11810,2013-12,1895063000.0,2449401000.0,1814171000.0,3140865000.0,-1646014000.0,-1595630000.0,-522090000.0,-509663000.0,1086567000.0,1342520000.0,-67233000,-961776000,1123534000.0,1506639000.0,3226878000.0,5067029000.0,-3.547797619393128,-39.26576334377262,-39.26576334377262
(주)STX,11810,2014-12,1291351000.0,1634606000.0,1233380000.0,1513363000.0,334488000.0,380584000.0,54894000.0,93662000.0,1070433000.0,1255002000.0,23414000,35691000,-522090000.0,-509663000.0,1086567000.0,1342520000.0,1.8131398821854012,2.1834619474050627,2.1834619474050627
(주)STX,11810,2015-12,1362127000.0,1630827000.0,1352181000.0,1586081000.0,-53449000.0,-48982000.0,72316000.0,72342000.0,1057543000.0,1267224000.0,-16336000,-34170000,54894000.0,93662000.0,1070433000.0,1255002000.0,-1.1993007994115086,-2.0952559652250056,-2.0952559652250056
(주)STX,11810,2016-12,1465561000.0,1720153000.0,1494187000.0,1635394000.0,-456150000.0,-457446000.0,-328883000.0,-330596000.0,627686000.0,707709000.0,-105780000,-34169000,72316000.0,72342000.0,1057543000.0,1267224000.0,-7.217713899319101,-1.9863930708489304,-1.9863930708489304
(주)STX,11810,2017-12,1595494000.0,1803878000.0,1541890000.0,1718572000.0,336179000.0,334386000.0,44710000.0,42560000.0,520393000.0,627542000.0,30170000,44053000,-328883000.0,-330596000.0,627686000.0,707709000.0,1.8909503890331147,2.442127460948024,2.442127460948024
(주)STX,11810,2018-12,1329890000.0,1502985000.0,1319737000.0,1483048000.0,5024000.0,9107000.0,62213000.0,64028000.0,446758000.0,554061000.0,-6902000,-14778000,44710000.0,42560000.0,520393000.0,627542000.0,-0.518990292430201,-0.9832433457419736,-0.9832433457419736
(주)STX,11810,2019-12,1237876000.0,1471164000.0,1225459000.0,1424697000.0,-37142000.0,-33218000.0,50616000.0,56291000.0,462734000.0,560107000.0,-13697000,1748000,62213000.0,64028000.0,446758000.0,554061000.0,-1.1064920880605167,0.11881748058000333,0.11881748058000333
(주)TCC스틸,2710,2011-12,456928069.0,514424043.0,419062918.0,472273637.0,6828699.0,4557868.0,205616971.0,225441968.0,407743559.0,454329510.0,12575855,11421366,203173489.0,225226613.0,366375812.0,414696288.0,2.7522614287020306,2.220223987470197,2.220223987470197
(주)TCC스틸,2710,2012-12,440568155.0,501337475.0,399338479.0,457927934.0,4206491.0,124581.0,209755733.0,225998781.0,438642951.0,547013976.0,11675644,5933944,205616971.0,225441968.0,407743559.0,454329510.0,2.6501334396263845,1.1836226685427815,1.1836226685427815
(주)TCC스틸,2710,2013-12,419483813.0,500832754.0,385343144.0,474104834.0,391783.0,-19955830.0,210086242.0,205738102.0,444204925.0,543708595.0,8348274,-7745722,209755733.0,225998781.0,438642951.0,547013976.0,1.9901301888852623,-1.5465685776613562,-1.5465685776613562
(주)TCC스틸,2710,2014-12,401323585.0,518995240.0,364984531.0,483588495.0,1022624.0,-15813610.0,210093654.0,189038004.0,461297588.0,551000563.0,10868549,344471,210086242.0,205738102.0,444204925.0,543708595.0,2.7081759971819253,0.06637267039289223,0.06637267039289223
(주)TCC스틸,2710,2015-12,350074629.0,495795871.0,311691285.0,451936886.0,-140083396.0,-110218983.0,76555951.0,86012476.0,330651742.0,376394571.0,14570434,15855158,210093654.0,189038004.0,461297588.0,551000563.0,4.1620936774598425,3.197920540971992,3.197920540971992
(주)TCC스틸,2710,2016-12,317235565.0,444453635.0,281559457.0,402898839.0,15468493.0,16948843.0,92623510.0,103337634.0,250878191.0,282914735.0,13291419,15351135,76555951.0,86012476.0,330651742.0,376394571.0,4.189763212709143,3.453933951963291,3.453933951963291
(주)TCC스틸,2710,2017-12,333762378.0,391370092.0,304470552.0,356978389.0,-2328706.0,1503708.0,89627045.0,100915803.0,248896237.0,278692540.0,6759804,8106456,92623510.0,103337634.0,250878191.0,282914735.0,2.0253343233310734,2.071301861257196,2.071301861257196
(주)TCC스틸,2710,2018-12,351301866.0,413176279.0,320798763.0,377890304.0,7565000.0,9755131.0,98351707.0,112246210.0,268135677.0,304781579.0,16306122,17080602,89627045.0,100915803.0,248896237.0,278692540.0,4.641626924919322,4.133974496633675,4.133974496633675
