,회사명,거래소코드,회계년도,노동장비율(개별),노동장비율(연결),기계장비율(개별),기계장비율(연결),자본집약도(개별),자본집약도(연결),노동소득분배율(개별),노동소득분배율(연결),설비투자효율(개별),설비투자효율(연결),총자본투자효율(개별),총자본투자효율(연결),기계투자효율(개별),기계투자효율(연결),부가가치율(개별),부가가치율(연결)
8615,(주)한글과컴퓨터,30520,13-Dec,8557.370056,8824.539548,0,0,433024.1215,432207.6893,0.000409822,0.000453726,1365.736873,1447.532833,0.269895261,0.295547975,,,0.600944446,0.629813713
8616,(주)한글과컴퓨터,30520,14-Dec,18385.62707,18456.87293,0,0,487717.4282,478185.511,0.000449719,0.000476745,812.9894283,858.2854341,0.306475012,0.331278653,,,0.710373965,0.756169342
8617,(주)한글과컴퓨터,30520,15-Dec,8527.638298,9567.678191,0,0,506626.5213,569522.6011,0.000402923,0.000455765,2015.408284,1853.8811,0.339237528,0.31144221,,,0.764400553,0.785157095
8618,(주)한글과컴퓨터,30520,16-Dec,7687.923664,8540.157761,0,0,519408.1196,581785.7481,0.000473526,0.000510758,2060.12172,2039.514856,0.304925124,0.299384759,,,0.6922032,0.67610723
8619,(주)한글과컴퓨터,30520,17-Dec,6824.753623,164544.9903,0,66171.2657,680879.4758,1284487.845,0.000521187,0.000542179,2225.757119,114.2332539,0.223097398,0.146334663,,2.840584877,0.663202696,0.580246108
8620,(주)한글과컴퓨터,30520,18-Dec,6566.962422,176994.0146,0,61595.41127,594804.9562,1350342.01,0.00069664,0.000625451,1659.152301,107.8066367,0.18317922,0.141305901,,3.097816711,0.539872053,0.423610921
8621,(주)한글과컴퓨터,30520,19-Dec,4775.840964,198398.0627,0,69369.96867,695036.4241,1570293.66,0.000525539,0.00058303,3388.771498,168.0499188,0.232854469,0.212321932,,4.80622652,0.668997633,0.433396536
8622,(주)한네트,52600,11-Dec,163491.3243,,446555.7297,,673362.2703,,0.000254383,,107.303239,,0.260530615,,0.392854631,,0.418397092,
8623,(주)한네트,52600,12-Dec,190354.0411,,481465.8904,,633093.7808,,0.000299125,,77.56735916,,0.233223903,,0.306673029,,0.397292848,
8624,(주)한네트,52600,13-Dec,235902.2273,,583388.7879,,851845.2121,,0.000257029,,80.42578246,,0.222723811,,0.325214019,,0.442519936,
8625,(주)한네트,52600,14-Dec,238156.1194,,586425.2388,,930676.7612,,0.000235033,,81.93903911,,0.209678423,,0.332766776,,0.471729962,
