회사명,거래소코드,회계년도,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
(주)모다이노칩,80420,14-Dec,12.56,17.67,5.16,9.67,6.4,-1.03,37.89,17.08,17.5,17.12,19.39,15.08,353.74,304.35,42.43,19.19,5.03,127.32,24.58,407.12,83.9,1.02,7.48,5.19,2.23,75.11,1.02,6.39,1.65
(주)모다이노칩,80420,15-Dec,-3.55,-8.66,2.57,31.43,5.16,-39.02,29.18,12.52,10.09,9.2,13.02,8.84,875.06,718.51,200.32,9.32,2.41,271.68,32.19,961,91.48,0.81,5.86,5.34,1.79,91.2,0.81,5.71,1.32
(주)모다이노칩,80420,16-Dec,372.08,384.93,220.37,274.53,120.02,93.58,59,11.86,12.11,6.96,13.55,6.09,94.23,74.53,18.55,134.56,34.4,14.13,26.03,23.56,42.63,1,2.57,7.47,1.31,4.08,1,1.05,1.27
(주)모다이노칩,80420,17-Dec,11.44,24.04,8.56,-0.29,16.13,79.3,63.9,12.48,14.03,8.19,16.33,6.26,92.31,74.58,21.62,125.07,30.89,16.56,19.34,29.79,44.43,1.15,2.45,5.69,1.2,3.14,1.15,0.89,1.36
(주)모다이노칩,80420,18-Dec,-1.66,7.39,-7.27,33.67,20.8,-34.07,63.4,7.99,7.8,6.65,13.45,3.95,114.39,82.72,19.04,83.22,28.79,8.77,7.99,13.84,54.58,1,2.19,5.25,1.08,3.81,1,0.98,1.4
(주)모다이노칩,80420,19-Dec,39.31,49.7,-22.08,16.61,2.05,-75.94,57.77,1.93,1.5,3.96,9.53,0.8,85.73,50.2,12.31,150.12,48.67,2.62,4.4,3.23,39.98,0.9,2.03,6.51,0.83,5.38,0.9,0.77,1.62
(주)모두투어네트워크,80160,11-Dec,-84.89,-99.69,-35.29,-100,-79.52,123.47,0,11.04,20.01,12.67,13.4,10.44,213.74,213.74,53.93,84.54,0.22,41.48,20.62,8677.67,54.19,1.81,,7.2,85.9,,1.81,1.99,1.08
(주)모두투어네트워크,80160,12-Dec,9.7,625.01,3.35,,14.58,27.88,99.15,12.8,22.7,14.95,15.42,12.41,210.36,210.26,76.1,76.69,0.17,28.96,13.56,7389.46,56.6,1.75,40.2,6.4,23.72,,1.75,2.18,1.21
(주)모두투어네트워크,80160,13-Dec,2.39,-2.14,1.32,-33.7,6.62,-13.44,98.96,10.39,18.68,10.49,10.75,10.14,206.45,206.38,64.18,69.68,0.9,30.07,12.8,1379.23,58.94,1.69,31.7,5.93,14.54,,1.69,2.31,1.26
(주)모두투어네트워크,80160,14-Dec,47.26,34.06,13.11,26,21.5,-8.09,97.65,8.52,16.31,8.82,10.09,7.45,157.22,157.16,65.65,105.66,15.63,19.44,13.61,63.92,48.62,1.66,88.83,6.87,14.08,,1.66,1.85,1.32
(주)모두투어네트워크,80160,15-Dec,-18.65,9.73,-13.49,8399.67,-10.35,-19.34,95.99,5.54,11.93,8.09,8.05,5.57,147.53,142.22,57.53,86.61,2.42,15.57,6.45,299.06,53.59,1.98,3.93,7.84,14.54,,1.98,2.04,1.66
(주)모두투어네트워크,80160,16-Dec,15.28,48.66,32.02,-97.15,3.05,40.25,95.29,6.7,16.76,10.25,8.49,8.08,143.97,143.85,55.57,108.75,2.56,13.09,6.05,266.61,47.9,2.39,5.27,7.47,12.97,,2.39,2.44,1.79
(주)모두투어네트워크,80160,17-Dec,60.78,3.1,38.09,19.03,59.92,52.37,96.25,8.32,20.56,11.71,11.04,8.82,145.28,145.19,36.99,109.87,13.45,19.74,12.01,76.84,47.65,2.22,84.93,7.4,13.11,,2.22,2.03,1.62
(주)모두투어네트워크,80160,18-Dec,-1.08,346.19,-3.87,7708.47,-1.15,-49.67,76.17,3.34,9.47,4.94,4.55,3.62,135.09,127.75,38.5,110.02,14.08,20.7,9.94,77.05,47.62,2.28,15.74,10.56,5.93,,2.28,2.07,1.78
(주)모두투어네트워크,80160,19-Dec,25.72,82.23,1.52,-9.77,-4.26,-65.95,82.12,1.4,2.57,0.85,1.08,1.1,146.16,139.09,40.92,175.78,31.02,11.28,10.18,23.18,36.26,1.91,5.12,11.84,2.09,,1.91,1.34,1.47
(주)모바일리더,100030,11-Dec,-100,-100,-100,-100,-100,167.96,30.68,21.42,8.4,3.04,8.27,7.88,1120.49,1120.49,67.45,4.03,0,301.31,31.1,0,96.12,0.39,,4.33,28.49,,0.39,5.92,
(주)모바일리더,100030,12-Dec,8.32,-39.83,8.78,,6.12,-82.48,33.26,19.35,7.15,4.03,13.62,5.73,531.05,531,103.05,16.4,4.46,78.65,37.42,248.34,85.91,0.38,,6.33,36.47,,0.38,7.4,
(주)모바일리더,100030,13-Dec,4.26,-0.99,10.65,2.32,9.16,100.26,39.15,23.41,13.53,8.92,18.59,11.23,689.17,689.12,174.73,11.17,2.12,127.03,27.16,602.88,89.95,0.55,6844.51,7.87,65.84,34.62,0.55,3.99,0.88
(주)모바일리더,100030,14-Dec,-1.75,-10.21,-12.57,-86.77,2.36,-67.97,32.77,9.15,4.15,0.28,0.73,3.56,925.44,925.43,171.33,6.72,0,132.47,21.27,0,93.7,0.42,10823.01,5.65,57.15,41.34,0.42,4.75,0.73
(주)모바일리더,100030,15-Dec,-2,5.08,14.61,-100,-3.47,-94.37,26.31,0.49,0.14,-2.59,-6.23,0.2,826.79,826.79,169.43,8.34,0,4.14,0.76,0,92.3,0.45,106482.89,4.72,61.75,30.03,0.45,5.94,0.76
(주)모바일리더,100030,16-Dec,-0.24,-35.77,-17.79,,1.05,105.04,34.51,1.07,0.25,2.43,6.16,0.42,742.86,742.86,101.53,6.96,0,57.68,9.51,0,93.49,0.42,,3.98,68.84,20.24,0.42,5.55,0.74
