회사명,거래소코드,회계년도,이자보상배율
기가레인,49080,Dec-15,-13.79
기가레인,49080,Dec-16,-4.14
기가레인,49080,Dec-17,1.96
기가레인,49080,Dec-18,-0.71
기가레인,49080,Dec-19,-8.09
기산텔레콤,35460,Dec-11,-3.73
기산텔레콤,35460,Dec-12,0.71
기산텔레콤,35460,Dec-13,4.99
기산텔레콤,35460,Dec-14,2.53
기산텔레콤,35460,Dec-15,2.72
기산텔레콤,35460,Dec-16,-5.83
기산텔레콤,35460,Dec-17,-6.37
기산텔레콤,35460,Dec-18,-5.52
기산텔레콤,35460,Dec-19,6.63
까뮤이앤씨,13700,Dec-11,-14.28
까뮤이앤씨,13700,Dec-12,0.46
까뮤이앤씨,13700,Dec-13,-0.14
까뮤이앤씨,13700,Dec-14,0.4
까뮤이앤씨,13700,Dec-15,1.65
까뮤이앤씨,13700,Dec-16,1.92
까뮤이앤씨,13700,Dec-17,4.85
까뮤이앤씨,13700,Dec-18,2.29
까뮤이앤씨,13700,Dec-19,5.87
까스텔바작,308100,Dec-19,214.89
나노,187790,Dec-14,
나노,187790,Dec-15,-4.06
나노,187790,Dec-16,-5.47
나노,187790,Dec-17,0.96
나노,187790,Dec-18,1.22
나노,187790,Dec-19,-0.54
나노브릭,286750,Dec-19,-3.38
나노신소재,121600,Dec-11,9.69
나노신소재,121600,Dec-12,-2.32
나노신소재,121600,Dec-13,4.32
나노신소재,121600,Dec-14,24.79
나노신소재,121600,Dec-15,86.73
나노신소재,121600,Dec-16,122.39
나노신소재,121600,Dec-17,114.62
나노신소재,121600,Dec-18,127.97
나노신소재,121600,Dec-19,42.91
나노엔텍,39860,Dec-11,-12.31
나노엔텍,39860,Dec-12,-5.04
나노엔텍,39860,Dec-13,-0.44
나노엔텍,39860,Dec-14,-8.4
나노엔텍,39860,Dec-15,-32.63
나노엔텍,39860,Dec-16,-42.07
나노엔텍,39860,Dec-17,3.38
나노엔텍,39860,Dec-18,18
나노엔텍,39860,Dec-19,133.96
나무가,190510,Dec-15,8.35
나무가,190510,Dec-16,-0.37
나무가,190510,Dec-17,-18.62
나무가,190510,Dec-18,1.01
나무가,190510,Dec-19,1.15
나스미디어,89600,Dec-13,326.73
나스미디어,89600,Dec-14,326.73
나스미디어,89600,Dec-15,326.73
나스미디어,89600,Dec-16,171.59
나스미디어,89600,Dec-17,147.4
나스미디어,89600,Dec-18,326.73
나스미디어,89600,Dec-19,35.89
나이벡,138610,Dec-11,-3.91
나이벡,138610,Dec-12,-2.68
나이벡,138610,Dec-13,-5.06
나이벡,138610,Dec-14,-5.51
나이벡,138610,Dec-15,-3.41
나이벡,138610,Dec-16,-3.51
나이벡,138610,Dec-17,-1.81
나이벡,138610,Dec-18,-4.64
나이벡,138610,Dec-19,-2.23
나이스디앤비,130580,Dec-11,39.1
나이스디앤비,130580,Dec-12,323.47
나이스디앤비,130580,Dec-13,48.46
나이스디앤비,130580,Dec-14,51.13
나이스디앤비,130580,Dec-15,323.47
나이스디앤비,130580,Dec-16,323.47
나이스디앤비,130580,Dec-17,323.47
나이스디앤비,130580,Dec-18,323.47
나이스디앤비,130580,Dec-19,323.47
나이스홀딩스,34310,Dec-11,23.73
나이스홀딩스,34310,Dec-12,42.71
나이스홀딩스,34310,Dec-13,27.01
나이스홀딩스,34310,Dec-14,16.68
나이스홀딩스,34310,Dec-15,14.86
나이스홀딩스,34310,Dec-16,17.14
나이스홀딩스,34310,Dec-17,15.51
나이스홀딩스,34310,Dec-18,9.62
나이스홀딩스,34310,Dec-19,8.47
나인테크,267320,Dec-17,-88.77
나인테크,267320,Dec-18,599.55
나인테크,267320,Dec-19,23.02
남선알미늄,8350,Dec-11,0.85
남선알미늄,8350,Dec-12,-0.73
남선알미늄,8350,Dec-13,3.16
남선알미늄,8350,Dec-14,4.69
남선알미늄,8350,Dec-15,7.95
남선알미늄,8350,Dec-16,12.45
남선알미늄,8350,Dec-17,8.89
남선알미늄,8350,Dec-18,5.19
남선알미늄,8350,Dec-19,7.9
남성,4270,Dec-11,-0.06
남성,4270,Dec-12,-0.01
남성,4270,Dec-13,0.39
남성,4270,Dec-14,0.41
남성,4270,Dec-15,0.65
남성,4270,Dec-16,1.01
남성,4270,Dec-17,1.79
남성,4270,Dec-18,0.23
남성,4270,Dec-19,0.13
내츄럴엔도텍,168330,Dec-13,675.61
내츄럴엔도텍,168330,Dec-14,4036.59
내츄럴엔도텍,168330,Dec-15,-805.99
내츄럴엔도텍,168330,Dec-16,-34.59
내츄럴엔도텍,168330,Dec-17,-1.96
내츄럴엔도텍,168330,Dec-18,-6.1
내츄럴엔도텍,168330,Dec-19,-4.35
네오리진,94860,Dec-11,1.61
네오리진,94860,Dec-12,1.27
네오리진,94860,Dec-13,-2.65
네오리진,94860,Dec-14,-8.5
네오리진,94860,Dec-15,-19.24
네오리진,94860,Dec-16,9.47
네오리진,94860,Dec-17,2.48
네오리진,94860,Dec-18,-12.63
네오리진,94860,Dec-19,3.22
네오셈,253590,Dec-18,
네오셈,253590,Dec-19,-7.64
네오오토,212560,Dec-15,9.39
네오오토,212560,Dec-16,10.05
네오오토,212560,Dec-17,1.7
네오오토,212560,Dec-18,2.49
네오오토,212560,Dec-19,0.84
