,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
797,797,(주)다산네트웍스,39560,16-Dec,-0.13,-2.88,-2.88,1.0
831,831,(주)다이나믹디자인,145210,18-Dec,-2.88,-4.73,-4.73,1.0
849,849,(주)대구백화점,6370,18-Dec,-9.4,-3.05,-3.05,1.0
916,916,(주)대성엘텍,25440,13-Dec,0.44,-0.49,-0.49,1.0
932,932,(주)대양금속,9190,11-Dec,-1.83,-1.84,-1.84,1.0
996,996,(주)대창,12800,14-Dec,1.26,0.88,0.88,1.0
1005,1005,(주)대창솔루션,96350,14-Dec,-1.06,-2.46,-2.46,1.0
1028,1028,(주)대한항공,3490,13-Dec,-0.04,-0.04,-0.04,1.0
1047,1047,(주)대호에이엘,69460,14-Dec,-0.46,77777777.77,-0.46,1.0
1053,1053,(주)대호특수강,21040,11-Dec,0.54,77777777.77,0.54,1.0
1067,1067,(주)더 미동,161570,18-Dec,10.01,-23.55,-23.55,1.0
1072,1072,(주)더블유아이,73570,13-Dec,-4.88,-1.94,-1.94,1.0
1079,1079,(주)더블유에스아이,299170,18-Dec,-1.61,77777777.77,-1.61,1.0
1115,1115,(주)덴티스,261200,18-Dec,-1.55,77777777.77,-1.55,1.0
1170,1170,(주)동방선기,99410,14-Dec,0.75,-0.86,-0.86,1.0
1227,1227,(주)동양,1520,13-Dec,-0.59,-0.12,-0.12,1.0
1327,1327,(주)듀오백,73190,16-Dec,77777777.77,-157.57,-157.57,1.0
1339,1339,(주)드래곤플라이,30350,19-Dec,-70.73,-73.66,-73.66,1.0
1340,1340,(주)드림시큐리티,203650,14-Dec,-1.48,77777777.77,-1.48,1.0
1348,1348,(주)드림어스컴퍼니,60570,13-Dec,-24.59,-44.51,-44.51,1.0
1439,1439,(주)디에스앤엘,141020,15-Dec,-13.27,-10.88,-10.88,1.0
1472,1472,(주)디엔에이링크,127120,15-Dec,-6.58,-7.65,-7.65,1.0
1497,1497,(주)디엠에스,68790,13-Dec,1.28,-0.23,-0.23,1.0
1527,1527,(주)디지아이,43360,11-Dec,-4.28,77777777.77,-4.28,1.0
1615,1615,(주)러셀,217500,17-Dec,-0.93,77777777.77,-0.93,1.0
1620,1620,(주)레고켐바이오사이언스,141080,15-Dec,-9.17,-9.17,-9.17,1.0
1633,1633,(주)레드로버,60300,19-Dec,-28.59,-28.88,-28.88,1.0
1680,1680,(주)루멘스,38060,19-Dec,-17.9,-9.58,-9.58,1.0
1681,1681,(주)루트로닉,85370,11-Dec,2.79,-2.06,-2.06,1.0
1690,1690,(주)룽투코리아,60240,11-Dec,-13.45,-18.61,-18.61,1.0
1716,1716,(주)리더스코스메틱,16100,19-Dec,-8.77,-8.58,-8.58,1.0
1745,1745,(주)마니커,27740,13-Dec,-0.22,-0.02,-0.02,1.0
1761,1761,(주)마이크로컨텍솔루션,98120,18-Dec,-187.2,-266.82,-266.82,1.0
1784,1784,(주)매직마이크로,127160,17-Dec,-0.46,-1.99,-1.99,1.0
1822,1822,(주)메디콕스,54180,19-Jun,0.49,-0.38,-0.38,1.0
1846,1846,(주)메지온,140410,17-Dec,-1.18,-6.08,-6.08,1.0
1855,1855,(주)메타랩스,90370,14-Dec,0.11,0.68,0.68,1.0
1872,1872,(주)멕아이씨에스,58110,17-Dec,-0.87,-1.78,-1.78,1.0
