0,회사명,거래소코드,회계년도,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
271,나무가,190510,18-Dec,0,0,0,0,0,0
272,나무가,190510,19-Dec,0,0,0,0,0,1
273,나이벡,138610,11-Dec,0,0,0,0,0,0
274,나이벡,138610,12-Dec,0,0,0,0,0,0
275,나이벡,138610,13-Dec,0,0,0,1,0,0
276,나이벡,138610,14-Dec,0,0,0,0,0,0
277,나이벡,138610,15-Dec,0,0,0,0,0,0
278,나이벡,138610,16-Dec,0,0,0,0,0,0
279,나이벡,138610,17-Dec,0,0,0,0,0,0
280,나이벡,138610,18-Dec,0,0,0,0,0,0
281,나이벡,138610,19-Dec,0,0,0,0,0,0
282,남성,4270,11-Dec,0,0,0,0,0,0
283,남성,4270,12-Dec,0,0,0,0,0,0
284,남성,4270,13-Dec,0,1,0,0,0,1
285,남성,4270,14-Dec,0,1,0,0,0,0
286,남성,4270,15-Dec,0,0,0,0,0,0
287,남성,4270,16-Dec,0,1,0,0,0,1
288,남성,4270,17-Dec,0,0,0,0,0,0
289,남성,4270,18-Dec,0,0,0,0,0,1
290,남성,4270,19-Dec,0,0,0,0,0,0
291,내츄럴엔도텍,168330,13-Dec,1,0,0,0,0,0
292,내츄럴엔도텍,168330,14-Dec,1,0,0,1,0,0
293,내츄럴엔도텍,168330,15-Dec,1,0,0,0,0,0
294,내츄럴엔도텍,168330,16-Dec,0,0,0,0,0,0
295,내츄럴엔도텍,168330,17-Dec,0,0,0,0,0,0
296,내츄럴엔도텍,168330,18-Dec,0,0,0,0,0,0
297,내츄럴엔도텍,168330,19-Dec,0,0,0,0,0,0
298,네오리진,94860,11-Dec,0,0,0,0,0,1
299,네오리진,94860,12-Dec,0,0,0,1,0,0
300,네오리진,94860,13-Dec,0,0,0,0,0,0
301,네오리진,94860,14-Dec,0,0,0,0,0,0
302,네오리진,94860,15-Dec,0,0,0,0,0,0
303,네오리진,94860,16-Dec,0,0,0,0,0,0
304,네오리진,94860,17-Dec,0,0,0,0,0,0
305,네오리진,94860,18-Dec,0,0,0,0,0,0
306,네오리진,94860,19-Dec,0,0,0,0,0,0
307,네오오토,212560,15-Dec,0,0,0,0,0,0
308,네오오토,212560,16-Dec,0,0,0,0,0,0
309,네오오토,212560,17-Dec,0,0,0,0,0,0
310,네오오토,212560,18-Dec,0,1,0,0,0,0
311,네오오토,212560,19-Dec,0,1,0,0,0,0
312,네오펙트,290660,18-Dec,0,0,0,0,0,0
313,네오펙트,290660,19-Dec,0,0,0,0,0,1
314,네이블커뮤니케이션즈,153460,12-Dec,0,0,0,1,0,0
315,네이블커뮤니케이션즈,153460,13-Dec,0,0,0,0,0,0
316,네이블커뮤니케이션즈,153460,14-Dec,0,0,0,0,0,0
317,네이블커뮤니케이션즈,153460,15-Dec,0,0,0,0,0,0
318,네이블커뮤니케이션즈,153460,16-Dec,0,0,0,0,0,0
319,네이블커뮤니케이션즈,153460,17-Dec,0,0,0,0,0,0
320,네이블커뮤니케이션즈,153460,18-Dec,0,0,0,0,0,0
321,네이블커뮤니케이션즈,153460,19-Dec,0,0,0,0,0,0
322,네이처셀,7390,11-Dec,0,0,0,0,0,0
323,네이처셀,7390,12-Dec,0,0,0,0,0,0
324,네이처셀,7390,13-Dec,0,0,0,0,0,0
325,네이처셀,7390,14-Dec,0,0,0,1,0,0
326,네이처셀,7390,15-Dec,0,0,0,0,0,0
327,네이처셀,7390,16-Dec,0,0,0,0,0,0
328,네이처셀,7390,17-Dec,0,0,0,1,0,0
329,네이처셀,7390,18-Dec,0,0,0,0,0,0
330,네이처셀,7390,19-Dec,0,0,0,0,0,0
331,네패스,33640,11-Dec,0,0,0,0,0,0
332,네패스,33640,12-Dec,0,0,0,1,0,1
333,네패스,33640,13-Dec,0,0,0,0,0,0
334,네패스,33640,14-Dec,0,1,0,0,0,0
335,네패스,33640,15-Dec,0,0,0,0,0,1
336,네패스,33640,16-Dec,0,0,0,0,0,0
337,네패스,33640,17-Dec,0,1,0,0,0,1
338,네패스,33640,18-Dec,0,0,0,0,0,0
339,네패스,33640,19-Dec,0,0,0,0,0,1
340,넥스턴바이오사이언스,89140,11-Dec,0,0,0,0,0,0
341,넥스턴바이오사이언스,89140,12-Dec,0,0,0,0,0,0
342,넥스턴바이오사이언스,89140,13-Dec,0,0,0,0,0,0
343,넥스턴바이오사이언스,89140,14-Dec,0,0,0,0,0,0
344,넥스턴바이오사이언스,89140,15-Dec,0,0,0,0,0,0
345,넥스턴바이오사이언스,89140,16-Dec,0,1,0,0,0,0
346,넥스턴바이오사이언스,89140,17-Dec,0,0,0,0,0,0
347,넥스턴바이오사이언스,89140,18-Dec,0,0,0,0,0,0
348,넥스턴바이오사이언스,89140,19-Dec,0,1,0,0,0,0
349,넥스트아이,137940,11-Dec,1,0,0,0,0,0
350,넥스트아이,137940,12-Dec,0,0,0,0,0,0
351,넥스트아이,137940,13-Dec,0,0,0,0,0,1
352,넥스트아이,137940,14-Dec,0,0,0,0,0,0
353,넥스트아이,137940,15-Dec,0,1,0,0,0,0
354,넥스트아이,137940,16-Dec,0,0,0,1,0,1
355,넥스트아이,137940,17-Dec,0,0,0,0,0,0
356,넥스트아이,137940,18-Dec,0,1,0,0,0,0
357,넥스트아이,137940,19-Dec,0,0,0,0,0,0
358,넥스트엔터테인먼트월드,160550,14-Dec,0,0,0,0,0,0
359,넥스트엔터테인먼트월드,160550,15-Dec,0,0,0,1,0,1
360,넥스트엔터테인먼트월드,160550,16-Dec,0,0,0,1,0,1
361,넥스트엔터테인먼트월드,160550,17-Dec,0,0,0,1,0,0
362,넥스트엔터테인먼트월드,160550,18-Dec,0,0,0,0,0,1
363,넥스트엔터테인먼트월드,160550,19-Dec,0,0,0,0,0,1
364,노블엠앤비,106520,12-Dec,0,0,0,1,0,1
365,노블엠앤비,106520,13-Dec,0,0,0,1,0,0
366,노블엠앤비,106520,14-Dec,0,0,0,0,0,1
367,노블엠앤비,106520,15-Dec,0,1,0,0,0,0
368,노블엠앤비,106520,16-Dec,0,0,0,1,0,0
369,노블엠앤비,106520,17-Dec,0,0,0,0,0,0
370,노블엠앤비,106520,18-Dec,0,0,0,0,0,1
371,노블엠앤비,106520,19-Dec,0,0,0,0,0,0
372,녹십자엠에스,142280,14-Dec,0,0,0,0,0,0
373,녹십자엠에스,142280,15-Dec,0,0,0,0,0,0
374,녹십자엠에스,142280,16-Dec,0,1,0,0,0,0
375,녹십자엠에스,142280,17-Dec,0,0,0,0,0,0
376,녹십자엠에스,142280,18-Dec,0,0,0,0,0,1
377,녹십자엠에스,142280,19-Dec,0,0,1,0,0,1
378,녹원씨엔아이,65560,11-Dec,0,0,0,0,0,0
379,녹원씨엔아이,65560,12-Dec,0,0,0,0,0,0
380,녹원씨엔아이,65560,13-Dec,0,0,0,0,0,0
381,녹원씨엔아이,65560,14-Dec,0,0,0,0,0,0
382,녹원씨엔아이,65560,15-Dec,1,0,0,0,0,1
383,녹원씨엔아이,65560,16-Dec,0,0,0,0,0,0
384,녹원씨엔아이,65560,17-Dec,1,0,0,0,0,1
385,녹원씨엔아이,65560,18-Dec,0,0,0,1,0,0
386,녹원씨엔아이,65560,19-Dec,0,0,0,0,0,0
387,누리플랜,69140,11-Dec,0,0,0,0,0,1
388,누리플랜,69140,12-Dec,0,0,0,0,0,1
389,누리플랜,69140,13-Dec,0,1,0,0,0,0
390,누리플랜,69140,14-Dec,0,0,0,0,0,0
391,누리플랜,69140,15-Dec,0,0,0,0,0,0
392,누리플랜,69140,16-Dec,0,0,0,0,0,0
393,누리플랜,69140,17-Dec,0,0,0,0,0,0
394,누리플랜,69140,18-Dec,0,0,0,0,0,1
395,누리플랜,69140,19-Dec,0,0,0,0,0,1
396,누리플렉스,40160,11-Dec,0,0,0,0,0,1
397,누리플렉스,40160,12-Dec,0,0,0,0,0,0
398,누리플렉스,40160,13-Dec,0,0,0,0,0,0
399,누리플렉스,40160,14-Dec,0,0,0,0,0,0
400,누리플렉스,40160,15-Dec,0,0,0,0,0,1
401,누리플렉스,40160,16-Dec,0,0,0,1,0,1
402,누리플렉스,40160,17-Dec,0,0,0,0,0,1
403,누리플렉스,40160,18-Dec,0,0,0,0,0,0
404,누리플렉스,40160,19-Dec,0,0,0,0,0,1
405,뉴로스,126870,12-Dec,0,0,0,1,0,1
406,뉴로스,126870,13-Dec,0,0,0,0,0,1
407,뉴로스,126870,14-Dec,0,0,0,0,0,0
408,뉴로스,126870,15-Dec,0,0,0,0,0,0
409,뉴로스,126870,16-Dec,0,0,0,0,0,1
410,뉴로스,126870,17-Dec,0,0,0,0,0,0
411,뉴로스,126870,18-Dec,0,0,0,0,0,1
412,뉴로스,126870,19-Dec,0,0,0,0,0,0
413,뉴보텍,60260,11-Dec,0,0,0,0,0,0
414,뉴보텍,60260,12-Dec,0,0,0,0,0,0
415,뉴보텍,60260,13-Dec,0,0,0,0,0,0
416,뉴보텍,60260,14-Dec,0,0,0,0,0,0
417,뉴보텍,60260,15-Dec,0,0,0,0,0,0
418,뉴보텍,60260,16-Dec,0,0,0,0,0,0
419,뉴보텍,60260,17-Dec,0,0,0,0,0,0
420,뉴보텍,60260,18-Dec,0,0,0,0,0,0
421,뉴보텍,60260,19-Dec,0,0,0,0,0,0
422,뉴인텍,12340,11-Dec,0,0,0,0,0,1
423,뉴인텍,12340,12-Dec,0,0,0,0,0,0
424,뉴인텍,12340,13-Dec,0,0,0,0,0,0
425,뉴인텍,12340,14-Dec,0,0,0,0,0,0
426,뉴인텍,12340,15-Dec,0,0,0,0,0,0
427,뉴인텍,12340,16-Dec,0,0,0,0,0,0
428,뉴인텍,12340,17-Dec,0,0,0,0,0,1
